Cycle,Sr88,Iso,Time,Microns,Fish_id,Watershed,Year
35,0.832098868045609,0.709010271401508,18.34,36.68,2015_nk_3_redo,Nush,2015
36,1.31944753552833,0.708564166974296,18.864,37.728,2015_nk_3_redo,Nush,2015
37,1.44717255835759,0.709486314182129,19.387999999999998,38.775999999999996,2015_nk_3_redo,Nush,2015
38,1.45327964373248,0.708545797897539,19.912,39.824,2015_nk_3_redo,Nush,2015
39,1.41518066932922,0.708200657596005,20.436,40.872,2015_nk_3_redo,Nush,2015
40,1.39954917447113,0.708789830357117,20.96,41.92,2015_nk_3_redo,Nush,2015
41,1.38735694278924,0.708515887803347,21.484,42.968,2015_nk_3_redo,Nush,2015
42,1.38132572981341,0.708489616740403,22.008,44.016,2015_nk_3_redo,Nush,2015
43,1.44691702861456,0.707460094026041,22.532,45.064,2015_nk_3_redo,Nush,2015
44,1.44878382078361,0.708247733270595,23.056,46.112,2015_nk_3_redo,Nush,2015
45,1.38320880590873,0.708189515599018,23.58,47.16,2015_nk_3_redo,Nush,2015
46,1.42400101638699,0.709908392284323,24.104,48.208,2015_nk_3_redo,Nush,2015
47,1.5524670013402,0.7090037718744,24.628,49.256,2015_nk_3_redo,Nush,2015
48,1.60483917830319,0.708436040653746,25.152,50.304,2015_nk_3_redo,Nush,2015
49,1.57108776857113,0.707909278329819,25.676000000000002,51.352000000000004,2015_nk_3_redo,Nush,2015
50,1.49447046332512,0.708135457583599,26.2,52.4,2015_nk_3_redo,Nush,2015
51,1.55812186273445,0.708711992312057,26.724,53.448,2015_nk_3_redo,Nush,2015
52,1.56716151055224,0.708023117886333,27.248,54.496,2015_nk_3_redo,Nush,2015
53,1.48898287226027,0.708529593955928,27.772,55.544,2015_nk_3_redo,Nush,2015
54,1.59016968903476,0.70861040129937,28.296,56.592,2015_nk_3_redo,Nush,2015
55,1.61059733070705,0.708359845455445,28.82,57.64,2015_nk_3_redo,Nush,2015
56,1.48050171332647,0.708793456621819,29.344,58.688,2015_nk_3_redo,Nush,2015
57,1.24498958307345,0.708857534813974,29.868000000000002,59.736000000000004,2015_nk_3_redo,Nush,2015
58,1.38317584303482,0.708658908694862,30.392,60.784,2015_nk_3_redo,Nush,2015
59,1.52388932711532,0.708994308311156,30.916,61.832,2015_nk_3_redo,Nush,2015
60,1.56519452995262,0.708766861652313,31.44,62.88,2015_nk_3_redo,Nush,2015
61,1.35366483514312,0.70923722495256,31.964,63.928,2015_nk_3_redo,Nush,2015
62,1.32032096427776,0.708746127694993,32.488,64.976,2015_nk_3_redo,Nush,2015
63,1.37095447794282,0.709910497442287,33.012,66.024,2015_nk_3_redo,Nush,2015
64,1.42210630514374,0.708142713097608,33.536,67.072,2015_nk_3_redo,Nush,2015
65,1.42804374319961,0.70777782244609,34.06,68.12,2015_nk_3_redo,Nush,2015
66,1.44097781853643,0.708964803215605,34.584,69.168,2015_nk_3_redo,Nush,2015
67,1.43452678951513,0.708206843784861,35.108000000000004,70.21600000000001,2015_nk_3_redo,Nush,2015
68,1.46979821345766,0.708790154857787,35.632000000000005,71.26400000000001,2015_nk_3_redo,Nush,2015
69,1.41585723262429,0.708745833907205,36.156000000000006,72.31200000000001,2015_nk_3_redo,Nush,2015
70,1.42312270796428,0.708721018124387,36.68,73.36,2015_nk_3_redo,Nush,2015
71,1.40028553657892,0.708687316795602,37.204,74.408,2015_nk_3_redo,Nush,2015
72,1.42386436094016,0.708620169043588,37.728,75.456,2015_nk_3_redo,Nush,2015
73,1.46970711800582,0.708507892168018,38.251999999999995,76.50399999999999,2015_nk_3_redo,Nush,2015
74,1.47756471632819,0.708677240868895,38.775999999999996,77.55199999999999,2015_nk_3_redo,Nush,2015
75,1.45791323431349,0.708653228814123,39.3,78.6,2015_nk_3_redo,Nush,2015
76,1.42375658980826,0.709125469718812,39.824,79.648,2015_nk_3_redo,Nush,2015
77,1.40676616117294,0.709276545584923,40.348,80.696,2015_nk_3_redo,Nush,2015
78,1.42614177258862,0.707500603746735,40.872,81.744,2015_nk_3_redo,Nush,2015
79,1.41473626328427,0.7086456532,41.396,82.792,2015_nk_3_redo,Nush,2015
80,1.40685230772199,0.708406069262964,41.92,83.84,2015_nk_3_redo,Nush,2015
81,1.43719513746341,0.708679193283819,42.444,84.888,2015_nk_3_redo,Nush,2015
82,1.41280401498083,0.70895253460913,42.968,85.936,2015_nk_3_redo,Nush,2015
83,1.41253808063503,0.707734338755866,43.492000000000004,86.98400000000001,2015_nk_3_redo,Nush,2015
84,1.37292929510143,0.708852642392648,44.016000000000005,88.03200000000001,2015_nk_3_redo,Nush,2015
85,1.43005113444879,0.708482754254431,44.540000000000006,89.08000000000001,2015_nk_3_redo,Nush,2015
86,1.39612515718633,0.709029997533564,45.064,90.128,2015_nk_3_redo,Nush,2015
87,1.36543561712955,0.709292537925315,45.588,91.176,2015_nk_3_redo,Nush,2015
88,1.36906911677953,0.708630558617014,46.112,92.224,2015_nk_3_redo,Nush,2015
89,1.41188193578556,0.709343534149659,46.635999999999996,93.27199999999999,2015_nk_3_redo,Nush,2015
90,1.44065654413085,0.70845105895369,47.16,94.32,2015_nk_3_redo,Nush,2015
91,1.33404892172684,0.708831787717321,47.684,95.368,2015_nk_3_redo,Nush,2015
92,1.33254734937015,0.708373817972444,48.208,96.416,2015_nk_3_redo,Nush,2015
93,1.3580822119443,0.70819967338716,48.732,97.464,2015_nk_3_redo,Nush,2015
94,1.47959908392067,0.709199397929621,49.256,98.512,2015_nk_3_redo,Nush,2015
95,1.40470074175266,0.70849307840226206,49.78,99.56,2015_nk_3_redo,Nush,2015
