Cycle,Time,Iso,Sr88,FishID,Watershed,Year,Microns,MA
150,78.60000000000001,0.7091187106730258,1.141961951355125,2015_yk_379b,Yukon,2015,157.20000000000002,0.7090196653547542
151,79.12400000000001,0.7085517783980697,1.1811818685027773,2015_yk_379b,Yukon,2015,158.24800000000002,0.7089889625765123
152,79.64800000000001,0.7085510294338614,1.169773819463533,2015_yk_379b,Yukon,2015,159.29600000000002,0.70900884220033
153,80.172,0.7099823979466126,1.0940059815522267,2015_yk_379b,Yukon,2015,160.344,0.7090001791779492
154,80.696,0.7083071248963059,1.1061889777102,2015_yk_379b,Yukon,2015,161.392,0.7090246968108167
155,81.22,0.7092811414276492,1.1776128483439894,2015_yk_379b,Yukon,2015,162.44,0.7090280913076342
156,81.744,0.7085256317527396,1.1633942823849153,2015_yk_379b,Yukon,2015,163.488,0.709037314922814
157,82.268,0.7088615646777131,1.131115401740114,2015_yk_379b,Yukon,2015,164.536,0.7090332109644748
158,82.792,0.7094887725965026,1.151166669039616,2015_yk_379b,Yukon,2015,165.584,0.7090187913790313
159,83.316,0.7094585621290713,1.1743369512142867,2015_yk_379b,Yukon,2015,166.632,0.7089950067114551
160,83.84,0.7100803534447956,1.1245908472290056,2015_yk_379b,Yukon,2015,167.68,0.7090103375970702
161,84.364,0.7094176452725233,1.1189560469967237,2015_yk_379b,Yukon,2015,168.728,0.7090026791063803
162,84.888,0.7096350975559547,1.1677428190157857,2015_yk_379b,Yukon,2015,169.776,0.7090079510363453
163,85.412,0.7079908326007259,1.1813118071116804,2015_yk_379b,Yukon,2015,170.824,0.7089842995967938
164,85.936,0.7090315585832799,1.1058684366244396,2015_yk_379b,Yukon,2015,171.872,0.7089674805236417
165,86.46000000000001,0.70909671475383,1.1149208803188404,2015_yk_379b,Yukon,2015,172.92000000000002,0.7089635864545645
166,86.98400000000001,0.709692111745401,1.1606631509653746,2015_yk_379b,Yukon,2015,173.96800000000002,0.7089736644732554
167,87.50800000000001,0.7090714924034451,1.1183276915341194,2015_yk_379b,Yukon,2015,175.01600000000002,0.7089435467385906
168,88.03200000000001,0.7096545710829634,1.0729024487835457,2015_yk_379b,Yukon,2015,176.06400000000002,0.7089302214115757
169,88.55600000000001,0.7073255405193256,1.1042549364777985,2015_yk_379b,Yukon,2015,177.11200000000002,0.7089445611510095
170,89.08,0.708411218650961,1.1279014068975133,2015_yk_379b,Yukon,2015,178.16,0.7089469695592381
171,89.604,0.7095562186580477,1.0756086477165114,2015_yk_379b,Yukon,2015,179.208,0.7089309798964633
172,90.128,0.7094883728193697,1.053627884716332,2015_yk_379b,Yukon,2015,180.256,0.7089460050718767
