Cycle,Time,Iso,Sr88,Microns,FishID,Watershed,Year
174,91.176,7.1107688628631394e-001,0.4475446819265136,182.352,2016_yk_221_sml,Yukon,2016
175,91.7,7.0890335158935747e-001,1.06728655587886,183.4,2016_yk_221_sml,Yukon,2016
176,92.224,7.0890336864915038e-001,1.2987499965795808,184.448,2016_yk_221_sml,Yukon,2016
177,92.748,7.0932786436710982e-001,1.2837742594964143,185.496,2016_yk_221_sml,Yukon,2016
178,93.272,7.0893904654338458e-001,1.238011442416138,186.544,2016_yk_221_sml,Yukon,2016
179,93.796,7.0931910658901176e-001,1.219547520386246,187.592,2016_yk_221_sml,Yukon,2016
180,94.32000000000001,7.0946819392786953e-001,1.205475591693682,188.64000000000001,2016_yk_221_sml,Yukon,2016
181,94.84400000000001,7.0854772047472503e-001,1.164238489212579,189.68800000000002,2016_yk_221_sml,Yukon,2016
182,95.36800000000001,7.0883468735133548e-001,1.158547801140225,190.73600000000002,2016_yk_221_sml,Yukon,2016
183,95.89200000000001,7.0765822985720972e-001,1.1491710632983876,191.78400000000002,2016_yk_221_sml,Yukon,2016
184,96.41600000000001,7.0901213728900092e-001,1.1268147638698884,192.83200000000002,2016_yk_221_sml,Yukon,2016
185,96.94,7.0747020906352820e-001,1.1039093869242014,193.88,2016_yk_221_sml,Yukon,2016
186,97.464,7.0846927396691084e-001,1.1087862237842074,194.928,2016_yk_221_sml,Yukon,2016
187,97.988,7.0905685629491610e-001,1.140235455896788,195.976,2016_yk_221_sml,Yukon,2016
188,98.512,7.0945109624435410e-001,1.152384867765824,197.024,2016_yk_221_sml,Yukon,2016
189,99.036,7.0886104735822741e-001,1.111849430528164,198.072,2016_yk_221_sml,Yukon,2016
190,99.56,7.0870140335145759e-001,1.0948684307490697,199.12,2016_yk_221_sml,Yukon,2016
191,100.084,7.0908375725482509e-001,1.1185464841902033,200.168,2016_yk_221_sml,Yukon,2016
192,100.608,7.0922236236162306e-001,1.1031712664908273,201.216,2016_yk_221_sml,Yukon,2016
193,101.132,7.0887963219257721e-001,1.1107519687897769,202.264,2016_yk_221_sml,Yukon,2016
194,101.656,7.0856074355861820e-001,1.1237238250551027,203.312,2016_yk_221_sml,Yukon,2016
195,102.18,7.0908069743242619e-001,1.1269799354945482,204.36,2016_yk_221_sml,Yukon,2016
196,102.70400000000001,7.0796075369628608e-001,1.0972925478991111,205.40800000000002,2016_yk_221_sml,Yukon,2016
197,103.22800000000001,7.0926037917598161e-001,1.0632144844824811,206.45600000000002,2016_yk_221_sml,Yukon,2016
