Cycle,Time,Iso,Sr88,Microns,Fish_id,Watershed,Year
2,1.048,Invalid Norm,8.9148864649956500e-006,2.096,2017_kk_232,Kusko,2017
7,3.668,X-1.3530751212285907e+001,4.1817643441324943e-006,7.336,2017_kk_232,Kusko,2017
10,5.24,Invalid Norm,2.4061028633763789e-005,10.48,2017_kk_232,Kusko,2017
13,6.812,Invalid Norm,1.6724587214108797e-005,13.624,2017_kk_232,Kusko,2017
15,7.86,7.9304131087748209e-001,1.0902569619317690e-004,15.72,2017_kk_232,Kusko,2017
17,8.908000000000001,Invalid Norm,1.8381198287889728e-005,17.816000000000003,2017_kk_232,Kusko,2017
19,9.956,Invalid Norm,2.2885218032628460e-006,19.912,2017_kk_232,Kusko,2017
22,11.528000000000002,Invalid Norm,3.9917393370570266e-005,23.056000000000004,2017_kk_232,Kusko,2017
24,12.576,2.7380212822537597e+000,2.1457769031908150e-005,25.152,2017_kk_232,Kusko,2017
38,19.912000000000003,-1.7645771653807460e-001,3.7077428862195374e-005,39.824000000000005,2017_kk_232,Kusko,2017
40,20.96,Invalid Norm,1.2228085353133611e-005,41.92,2017_kk_232,Kusko,2017
44,23.056,Invalid Norm,3.3290822133267444e-005,46.112,2017_kk_232,Kusko,2017
45,23.580000000000002,X1.5125712766101717e+001,1.5541295279603820e-005,47.160000000000004,2017_kk_232,Kusko,2017
53,27.772000000000002,Invalid Norm,2.7618321004034422e-006,55.544000000000004,2017_kk_232,Kusko,2017
58,30.392000000000003,Invalid Norm,9.3881999160100012e-006,60.784000000000006,2017_kk_232,Kusko,2017
62,32.488,Invalid Norm,6.7849787230077167e-006,64.976,2017_kk_232,Kusko,2017
77,40.348,Invalid Norm,5.7667355293144042e-005,80.696,2017_kk_232,Kusko,2017
78,40.872,-6.2154426562577036e-001,2.8794245368805632e-005,81.744,2017_kk_232,Kusko,2017
80,41.92,Invalid Norm,2.5480991288780370e-005,83.84,2017_kk_232,Kusko,2017
81,42.444,X-1.1287856958992496e+001,2.4297688935429377e-005,84.888,2017_kk_232,Kusko,2017
88,46.112,Invalid Norm,5.1283869661948416e-006,92.224,2017_kk_232,Kusko,2017
90,47.160000000000004,Invalid Norm,7.9682602386675454e-006,94.32000000000001,2017_kk_232,Kusko,2017
98,51.352000000000004,Invalid Norm,1.7671221775513563e-005,102.70400000000001,2017_kk_232,Kusko,2017
100,52.400000000000006,6.4110857655171305e-001,3.7548954699686723e-003,104.80000000000001,2017_kk_232,Kusko,2017
101,52.92400000000001,7.0758480018361480e-001,4.0653859641218681e-001,105.84800000000001,2017_kk_232,Kusko,2017
102,53.448,7.0877851591351282e-001,1.2525059464058248e+000,106.896,2017_kk_232,Kusko,2017
103,53.972,7.0835952898669297e-001,1.5688867064379262e+000,107.944,2017_kk_232,Kusko,2017
104,54.496,7.0745112012868616e-001,1.5084777781560790e+000,108.992,2017_kk_232,Kusko,2017
105,55.02,7.0824230611986649e-001,1.4665112160207847e+000,110.04,2017_kk_232,Kusko,2017
106,55.544000000000004,7.0799020484088493e-001,1.4542528021442451e+000,111.08800000000001,2017_kk_232,Kusko,2017
107,56.068000000000005,7.0834274019233678e-001,1.4419542922596054e+000,112.13600000000001,2017_kk_232,Kusko,2017
108,56.592000000000006,7.0868017716040466e-001,1.4121715595552500e+000,113.18400000000001,2017_kk_232,Kusko,2017
109,57.116,7.0830867190261471e-001,1.4334932434382244e+000,114.232,2017_kk_232,Kusko,2017
110,57.64,7.0771562446463798e-001,1.4211916003706178e+000,115.28,2017_kk_232,Kusko,2017
111,58.164,7.0732488512172131e-001,1.3900159664867542e+000,116.328,2017_kk_232,Kusko,2017
