"Cycle","Time","Iso","Sr88","Microns","Fish_id","Watershed","Year","Iso_MA","natal_iso"
369,193.356,0.722617729148881,0.376840840812737,386.712,"2016_yk_162","Yukon",2016,NA,0.723302606951546
370,193.88,0.724956244570528,0.370868653981994,387.76,"2016_yk_162","Yukon",2016,NA,0.723302606951546
371,194.404,0.722450503800244,0.37857218110877,388.808,"2016_yk_162","Yukon",2016,NA,0.723302606951546
372,194.928,0.723909948140003,0.390544895641185,389.856,"2016_yk_162","Yukon",2016,NA,0.723302606951546
373,195.452,0.721795558393506,0.389537337038757,390.904,"2016_yk_162","Yukon",2016,NA,0.723302606951546
374,195.976,0.726169192208923,0.386102362587408,391.952,"2016_yk_162","Yukon",2016,NA,0.723302606951546
375,196.5,0.722116617216082,0.376417903004994,393,"2016_yk_162","Yukon",2016,NA,0.723302606951546
376,197.024,0.721675853054437,0.391031266471971,394.048,"2016_yk_162","Yukon",2016,NA,0.723302606951546
377,197.548,0.722482907865735,0.394170063385557,395.096,"2016_yk_162","Yukon",2016,NA,0.723302606951546
378,198.072,0.723529846548523,0.384463605988138,396.144,"2016_yk_162","Yukon",2016,NA,0.723302606951546
379,198.596,0.722364410233666,0.392148910734338,397.192,"2016_yk_162","Yukon",2016,NA,0.723302606951546
380,199.12,0.725834628753584,0.412158032298687,398.24,"2016_yk_162","Yukon",2016,NA,0.723302606951546
381,199.644,0.725649787121649,0.410630191783391,399.288,"2016_yk_162","Yukon",2016,NA,0.723302606951546
382,200.168,0.719996422780014,0.394718783379079,400.336,"2016_yk_162","Yukon",2016,NA,0.723302606951546
383,200.692,0.724065070374265,0.397448108585718,401.384,"2016_yk_162","Yukon",2016,NA,0.723302606951546
384,201.216,0.723761388680989,0.40713842587657,402.432,"2016_yk_162","Yukon",2016,NA,0.723302606951546
385,201.74,0.720304224872979,0.399852998833546,403.48,"2016_yk_162","Yukon",2016,NA,0.723302606951546
386,202.264,0.722355368350612,0.39034615056322,404.528,"2016_yk_162","Yukon",2016,NA,0.723302606951546
387,202.788,0.723717253663616,0.402943868586018,405.576,"2016_yk_162","Yukon",2016,NA,0.723302606951546
388,203.312,0.720768984109308,0.41257476771496,406.624,"2016_yk_162","Yukon",2016,NA,0.723302606951546
389,203.836,0.723134403698484,0.404853862405323,407.672,"2016_yk_162","Yukon",2016,NA,0.723302606951546
390,204.36,0.725632057003894,0.396064754230015,408.72,"2016_yk_162","Yukon",2016,NA,0.723302606951546
391,204.884,0.722704720360524,0.40550814885558,409.768,"2016_yk_162","Yukon",2016,NA,0.723302606951546
392,205.408,0.724113055041224,0.421545292777871,410.816,"2016_yk_162","Yukon",2016,NA,0.723302606951546
393,205.932,0.725628263004776,0.406003236924076,411.864,"2016_yk_162","Yukon",2016,NA,0.723302606951546
394,206.456,0.721388628689387,0.401465211200245,412.912,"2016_yk_162","Yukon",2016,NA,0.723302606951546
395,206.98,0.722289820350527,0.412973332946768,413.96,"2016_yk_162","Yukon",2016,NA,0.723302606951546
396,207.504,0.724784114126276,0.413151914764998,415.008,"2016_yk_162","Yukon",2016,NA,0.723302606951546
397,208.028,0.72411587412223,0.407797488928664,416.056,"2016_yk_162","Yukon",2016,NA,0.723302606951546
398,208.552,0.724283371576616,0.412448616336016,417.104,"2016_yk_162","Yukon",2016,0.723417153388911,0.723302606951546
399,209.076,0.720144821917128,0.425369324510647,418.152,"2016_yk_162","Yukon",2016,0.723412199708831,0.723302606951546
400,209.6,0.722734852764685,0.430154107685038,419.2,"2016_yk_162","Yukon",2016,0.723370852417094,0.723302606951546
401,210.124,0.721595581233479,0.413532634513328,420.248,"2016_yk_162","Yukon",2016,0.723386348247232,0.723302606951546
402,210.648,0.726327697716841,0.408511454814974,421.296,"2016_yk_162","Yukon",2016,0.723411550389248,0.723302606951546
403,211.172,0.724841358011256,0.421092873167238,422.344,"2016_yk_162","Yukon",2016,0.723417932593197,0.723302606951546
404,211.696,0.723289920508016,0.423495716903716,423.392,"2016_yk_162","Yukon",2016,0.72337570745713,0.723302606951546
405,212.22,0.724490968969337,0.425275805209216,424.44,"2016_yk_162","Yukon",2016,0.723379001152087,0.723302606951546
406,212.744,0.724780464949387,0.423524448885835,425.488,"2016_yk_162","Yukon",2016,0.723391723691517,0.723302606951546
407,213.268,0.725210282035949,0.433588197377637,426.536,"2016_yk_162","Yukon",2016,0.72333206961889,0.723302606951546
408,213.792,0.724702493013559,0.425857836962388,427.584,"2016_yk_162","Yukon",2016,0.723338460183647,0.723302606951546
409,214.316,0.724324178378604,0.416336087676137,428.632,"2016_yk_162","Yukon",2016,0.723347491434901,0.723302606951546
