"Cycle","Time","Iso","Sr88","Microns","Fish_id","Watershed","Year","Iso_MA","natal_iso"
585,306.54,0.70283825187507,0.691552530809141,613.08,"2014_nk_16_redo","Nush",2014,0.705120642892626,0.705033201584439
586,307.064,0.705728374046967,0.664113501506388,614.128,"2014_nk_16_redo","Nush",2014,0.7051562678834,0.705033201584439
587,307.588,0.70513068907711,0.654645939132275,615.176,"2014_nk_16_redo","Nush",2014,0.705140315152299,0.705033201584439
588,308.112,0.705124218909018,0.674936496542758,616.224,"2014_nk_16_redo","Nush",2014,0.705141181586306,0.705033201584439
589,308.636,0.704594635542747,0.697273218657604,617.272,"2014_nk_16_redo","Nush",2014,0.705164076125148,0.705033201584439
590,309.16,0.704453255630591,0.6949435534224,618.32,"2014_nk_16_redo","Nush",2014,0.705166765619515,0.705033201584439
591,309.684,0.704311966304651,0.676969531309967,619.368,"2014_nk_16_redo","Nush",2014,0.705135872027154,0.705033201584439
592,310.208,0.705990223677585,0.700004168421072,620.416,"2014_nk_16_redo","Nush",2014,0.705117906389772,0.705033201584439
593,310.732,0.706641795974192,0.755184297875219,621.464,"2014_nk_16_redo","Nush",2014,0.705097585574012,0.705033201584439
594,311.256,0.704365336285988,0.755721099872479,622.512,"2014_nk_16_redo","Nush",2014,0.705055979174505,0.705033201584439
595,311.78,0.702484251001431,0.724917671263383,623.56,"2014_nk_16_redo","Nush",2014,0.705064450610331,0.705033201584439
596,312.304,0.706009951324032,0.697658352923766,624.608,"2014_nk_16_redo","Nush",2014,0.705063446617096,0.705033201584439
597,312.828,0.702254688015158,0.691079303089966,625.656,"2014_nk_16_redo","Nush",2014,0.705060491564814,0.705033201584439
598,313.352,0.70416279144634,0.703121054796968,626.704,"2014_nk_16_redo","Nush",2014,0.705074436637778,0.705033201584439
599,313.876,0.704956267053767,0.727877928934346,627.752,"2014_nk_16_redo","Nush",2014,0.705075203862682,0.705033201584439
600,314.4,0.703912300347028,0.7246206298644,628.8,"2014_nk_16_redo","Nush",2014,0.705115400786332,0.705033201584439
601,314.924,0.706613950437868,0.740057809564742,629.848,"2014_nk_16_redo","Nush",2014,0.705099775564347,0.705033201584439
602,315.448,0.705446448498609,0.744104294970918,630.896,"2014_nk_16_redo","Nush",2014,0.70513077690604,0.705033201584439
603,315.972,0.70646440534735,0.72804940084907,631.944,"2014_nk_16_redo","Nush",2014,0.705115847049001,0.705033201584439
604,316.496,0.705949613308813,0.696982417944605,632.992,"2014_nk_16_redo","Nush",2014,0.705163529617119,0.705033201584439
605,317.02,0.704137024626361,0.667724192698587,634.04,"2014_nk_16_redo","Nush",2014,0.705138238598468,0.705033201584439
606,317.544,0.703975575446277,0.632389742178909,635.088,"2014_nk_16_redo","Nush",2014,0.705163814959105,0.705033201584439
607,318.068,0.705959284135844,0.6167696898104,636.136,"2014_nk_16_redo","Nush",2014,0.70514014673781,0.705033201584439
608,318.592,0.70730004828238,0.609124073760322,637.184,"2014_nk_16_redo","Nush",2014,0.705145770205851,0.705033201584439
609,319.116,0.704170473987792,0.670024556643849,638.232,"2014_nk_16_redo","Nush",2014,0.70510835580233,0.705033201584439
610,319.64,0.704703153031449,0.707190598992453,639.28,"2014_nk_16_redo","Nush",2014,0.705097911490394,0.705033201584439
611,320.164,0.707050810298793,0.701652067506068,640.328,"2014_nk_16_redo","Nush",2014,0.705071092753661,0.705033201584439
612,320.688,0.704634385257537,0.664901201047235,641.376,"2014_nk_16_redo","Nush",2014,0.705080206641261,0.705033201584439
613,321.212,0.704907060181463,0.66763971495268,642.424,"2014_nk_16_redo","Nush",2014,0.705061316906813,0.705033201584439
614,321.736,0.706349434606773,0.675976436167649,643.472,"2014_nk_16_redo","Nush",2014,0.705048372212355,0.705033201584439
615,322.26,0.70381031090042,0.661890376760114,644.52,"2014_nk_16_redo","Nush",2014,0.705100110686585,0.705033201584439
616,322.784,0.706619917509563,0.644483572904644,645.568,"2014_nk_16_redo","Nush",2014,0.705072748591367,0.705033201584439
617,323.308,0.704317392334554,0.650765317484298,646.616,"2014_nk_16_redo","Nush",2014,0.705072925803601,0.705033201584439
618,323.832,0.705531635999861,0.631063208329684,647.664,"2014_nk_16_redo","Nush",2014,0.705068891597782,0.705033201584439
619,324.356,0.706098494870178,0.62562164446848,648.712,"2014_nk_16_redo","Nush",2014,0.7050828720448,0.705033201584439
620,324.88,0.705985742905216,0.642708139392432,649.76,"2014_nk_16_redo","Nush",2014,0.705084837593917,0.705033201584439
621,325.404,0.703320906884165,0.646410356201912,650.808,"2014_nk_16_redo","Nush",2014,0.705110343025852,0.705033201584439
622,325.928,0.704833654991081,0.638187279421952,651.856,"2014_nk_16_redo","Nush",2014,0.705117693949701,0.705033201584439
623,326.452,0.704854363641609,0.637424450709998,652.904,"2014_nk_16_redo","Nush",2014,0.705097386804975,0.705033201584439
624,326.976,0.703002170330537,0.626751686090314,653.952,"2014_nk_16_redo","Nush",2014,0.705124853075079,0.705033201584439
625,327.5,0.704341699196021,0.616912879323239,655,"2014_nk_16_redo","Nush",2014,0.705129212588988,0.705033201584439
626,328.024,0.704210048730638,0.60986052199159,656.048,"2014_nk_16_redo","Nush",2014,0.705121140537653,0.705033201584439
627,328.548,0.704666614629034,0.624893905663355,657.096,"2014_nk_16_redo","Nush",2014,0.705140606421613,0.705033201584439
628,329.072,0.704917062460462,0.629595810206416,658.144,"2014_nk_16_redo","Nush",2014,0.705138641355511,0.705033201584439
629,329.596,0.705420995140648,0.639083339565411,659.192,"2014_nk_16_redo","Nush",2014,0.705151590820121,0.705033201584439
