"Fish_id","Predicted","Actual","Confidence","Correct","Kusko","Nush","Yukon"
"2011_nk_119","Nush","Nush",0.59,TRUE,0.326,0.59,0.084
"2011_nk_12","Nush","Nush",0.86,TRUE,0.112,0.86,0.028
"2011_nk_122","Nush","Nush",0.988,TRUE,0.01,0.988,0.002
"2011_nk_134","Nush","Nush",0.688,TRUE,0.234,0.688,0.078
"2011_nk_143","Nush","Nush",0.78,TRUE,0.178,0.78,0.042
"2011_nk_149","Nush","Nush",0.536,TRUE,0.39,0.536,0.074
"2011_nk_150","Nush","Nush",0.95,TRUE,0.048,0.95,0.002
"2011_nk_159","Nush","Nush",0.98,TRUE,0.018,0.98,0.002
"2011_nk_169","Nush","Nush",0.784,TRUE,0.174,0.784,0.042
"2011_nk_171","Nush","Nush",0.866,TRUE,0.128,0.866,0.006
"2011_nk_173","Kusko","Nush",0.474,FALSE,0.474,0.372,0.154
"2011_nk_174","Nush","Nush",0.926,TRUE,0.054,0.926,0.02
"2011_nk_178","Nush","Nush",0.964,TRUE,0.036,0.964,0
"2011_nk_182","Kusko","Nush",0.62,FALSE,0.62,0.32,0.06
"2011_nk_186","Nush","Nush",0.782,TRUE,0.21,0.782,0.008
"2011_nk_201","Nush","Nush",0.57,TRUE,0.354,0.57,0.076
"2011_nk_206","Nush","Nush",0.802,TRUE,0.12,0.802,0.078
"2011_nk_212","Nush","Nush",0.918,TRUE,0.064,0.918,0.018
"2011_nk_226","Nush","Nush",0.83,TRUE,0.152,0.83,0.018
"2011_nk_230","Kusko","Nush",0.48,FALSE,0.48,0.412,0.108
"2011_nk_236","Nush","Nush",0.848,TRUE,0.122,0.848,0.03
"2011_nk_237","Nush","Nush",0.946,TRUE,0.05,0.946,0.004
"2011_nk_23b","Nush","Nush",0.846,TRUE,0.146,0.846,0.008
"2011_nk_24","Nush","Nush",0.862,TRUE,0.126,0.862,0.012
"2011_nk_26","Nush","Nush",0.644,TRUE,0.32,0.644,0.036
"2011_nk_27","Nush","Nush",0.454,TRUE,0.362,0.454,0.184
"2011_nk_31","Nush","Nush",0.814,TRUE,0.152,0.814,0.034
"2011_nk_33","Nush","Nush",0.592,TRUE,0.35,0.592,0.058
"2011_nk_39","Nush","Nush",0.676,TRUE,0.294,0.676,0.03
"2011_nk_42","Nush","Nush",0.754,TRUE,0.196,0.754,0.05
"2011_nk_51","Nush","Nush",0.652,TRUE,0.284,0.652,0.064
"2011_nk_68","Nush","Nush",0.706,TRUE,0.18,0.706,0.114
"2011_nk_94","Nush","Nush",0.632,TRUE,0.308,0.632,0.06
"2014_nk_100","Nush","Nush",0.496,TRUE,0.416,0.496,0.088
"2014_nk_101_redo","Nush","Nush",0.462,TRUE,0.386,0.462,0.152
"2014_nk_109","Nush","Nush",0.544,TRUE,0.358,0.544,0.098
"2014_nk_129","Kusko","Nush",0.472,FALSE,0.472,0.398,0.13
