"Fish_id","Predicted","Actual","Confidence","Correct","Kusko","Nush","Yukon"
"2011_nk_119","Kusko","Nush",0.534,FALSE,0.534,0.432,0.034
"2011_nk_12","Nush","Nush",0.66,TRUE,0.204,0.66,0.136
"2011_nk_122","Nush","Nush",0.982,TRUE,0.018,0.982,0
"2011_nk_134","Nush","Nush",0.646,TRUE,0.208,0.646,0.146
"2011_nk_143","Nush","Nush",0.83,TRUE,0.154,0.83,0.016
"2011_nk_149","Nush","Nush",0.516,TRUE,0.41,0.516,0.074
"2011_nk_150","Nush","Nush",0.984,TRUE,0.014,0.984,0.002
"2011_nk_159","Nush","Nush",0.98,TRUE,0.018,0.98,0.002
"2011_nk_169","Nush","Nush",0.776,TRUE,0.176,0.776,0.048
"2011_nk_171","Nush","Nush",0.834,TRUE,0.146,0.834,0.02
"2011_nk_173","Nush","Nush",0.646,TRUE,0.304,0.646,0.05
"2011_nk_174","Nush","Nush",0.928,TRUE,0.066,0.928,0.006
"2011_nk_178","Nush","Nush",0.948,TRUE,0.05,0.948,0.002
"2011_nk_182","Nush","Nush",0.486,TRUE,0.458,0.486,0.056
"2011_nk_186","Nush","Nush",0.812,TRUE,0.172,0.812,0.016
"2011_nk_201","Nush","Nush",0.564,TRUE,0.374,0.564,0.062
"2011_nk_206","Nush","Nush",0.64,TRUE,0.17,0.64,0.19
"2011_nk_212","Nush","Nush",0.852,TRUE,0.12,0.852,0.028
"2011_nk_226","Nush","Nush",0.904,TRUE,0.082,0.904,0.014
"2011_nk_230","Kusko","Nush",0.488,FALSE,0.488,0.458,0.054
"2011_nk_236","Nush","Nush",0.766,TRUE,0.216,0.766,0.018
"2011_nk_237","Nush","Nush",0.828,TRUE,0.136,0.828,0.036
"2011_nk_23b","Nush","Nush",0.834,TRUE,0.166,0.834,0
"2011_nk_24","Nush","Nush",0.7,TRUE,0.276,0.7,0.024
"2011_nk_26","Nush","Nush",0.486,TRUE,0.476,0.486,0.038
"2011_nk_27","Nush","Nush",0.424,TRUE,0.392,0.424,0.184
"2011_nk_31","Nush","Nush",0.75,TRUE,0.214,0.75,0.036
"2011_nk_33","Nush","Nush",0.718,TRUE,0.238,0.718,0.044
"2011_nk_39","Nush","Nush",0.58,TRUE,0.38,0.58,0.04
"2011_nk_42","Nush","Nush",0.806,TRUE,0.132,0.806,0.062
"2011_nk_51","Nush","Nush",0.7,TRUE,0.232,0.7,0.068
"2011_nk_68","Nush","Nush",0.448,TRUE,0.358,0.448,0.194
"2011_nk_94","Nush","Nush",0.61,TRUE,0.33,0.61,0.06
"2014_nk_100","Nush","Nush",0.49,TRUE,0.416,0.49,0.094
"2014_nk_101_redo","Kusko","Nush",0.402,FALSE,0.402,0.35,0.248
"2014_nk_109","Nush","Nush",0.546,TRUE,0.4,0.546,0.054
"2014_nk_129","Kusko","Nush",0.492,FALSE,0.492,0.38,0.128
"2014_nk_141","Nush","Nush",0.568,TRUE,0.37,0.568,0.062
"2014_nk_148","Nush","Nush",0.712,TRUE,0.26,0.712,0.028
"2014_nk_150","Nush","Nush",0.52,TRUE,0.356,0.52,0.124
"2014_nk_154","Nush","Nush",0.88,TRUE,0.112,0.88,0.008
"2014_nk_157","Kusko","Nush",0.526,FALSE,0.526,0.296,0.178
"2014_nk_158","Nush","Nush",0.486,TRUE,0.358,0.486,0.156
"2014_nk_161","Nush","Nush",0.754,TRUE,0.224,0.754,0.022
"2014_nk_162","Kusko","Nush",0.646,FALSE,0.646,0.272,0.082
"2014_nk_168","Kusko","Nush",0.436,FALSE,0.436,0.418,0.146
"2014_nk_169","Kusko","Nush",0.47,FALSE,0.47,0.362,0.168
"2014_nk_17","Nush","Nush",0.7,TRUE,0.254,0.7,0.046
"2014_nk_172","Nush","Nush",0.42,TRUE,0.41,0.42,0.17
"2014_nk_176","Kusko","Nush",0.482,FALSE,0.482,0.46,0.058
"2014_nk_181","Kusko","Nush",0.472,FALSE,0.472,0.386,0.142
"2014_nk_183","Nush","Nush",0.818,TRUE,0.172,0.818,0.01
"2014_nk_191","Nush","Nush",0.476,TRUE,0.39,0.476,0.134
"2014_nk_200","Nush","Nush",0.546,TRUE,0.366,0.546,0.088
"2014_nk_201","Kusko","Nush",0.424,FALSE,0.424,0.4,0.176
"2014_nk_207","Nush","Nush",0.808,TRUE,0.178,0.808,0.014
"2014_nk_208","Nush","Nush",0.784,TRUE,0.184,0.784,0.032
"2014_nk_223","Nush","Nush",0.442,TRUE,0.42,0.442,0.138
"2014_nk_232","Nush","Nush",0.91,TRUE,0.078,0.91,0.012
"2014_nk_236","Nush","Nush",0.498,TRUE,0.38,0.498,0.122
"2014_nk_239","Nush","Nush",0.434,TRUE,0.402,0.434,0.164
"2014_nk_250","Nush","Nush",0.476,TRUE,0.418,0.476,0.106
"2014_nk_258","Kusko","Nush",0.548,FALSE,0.548,0.258,0.194
"2014_nk_26","Kusko","Nush",0.42,FALSE,0.42,0.356,0.224
"2014_nk_274","Nush","Nush",0.518,TRUE,0.36,0.518,0.122
"2014_nk_275","Nush","Nush",0.518,TRUE,0.322,0.518,0.16
"2014_nk_28","Nush","Nush",0.818,TRUE,0.158,0.818,0.024
"2014_nk_281","Kusko","Nush",0.446,FALSE,0.446,0.32,0.234
"2014_nk_29B","Kusko","Nush",0.486,FALSE,0.486,0.356,0.158
"2014_nk_37","Kusko","Nush",0.458,FALSE,0.458,0.374,0.168
"2014_nk_51","Nush","Nush",0.538,TRUE,0.376,0.538,0.086
"2014_nk_73","Kusko","Nush",0.486,FALSE,0.486,0.396,0.118
"2014_nk_93","Nush","Nush",0.848,TRUE,0.138,0.848,0.014
"2014_nk_94_redo","Nush","Nush",0.506,TRUE,0.398,0.506,0.096
"2015_nk_012","Nush","Nush",0.818,TRUE,0.17,0.818,0.012
"2015_nk_013_2","Nush","Nush",0.54,TRUE,0.38,0.54,0.08
"2015_nk_018","Nush","Nush",0.5,TRUE,0.316,0.5,0.184
"2015_nk_019","Nush","Nush",0.632,TRUE,0.298,0.632,0.07
"2015_nk_022","Nush","Nush",0.508,TRUE,0.392,0.508,0.1
"2015_nk_031_redo","Nush","Nush",0.722,TRUE,0.222,0.722,0.056
"2015_nk_033","Nush","Nush",0.938,TRUE,0.058,0.938,0.004
"2015_nk_035_1","Nush","Nush",0.994,TRUE,0.006,0.994,0
"2015_nk_039","Nush","Nush",0.954,TRUE,0.04,0.954,0.006
"2015_nk_040","Nush","Nush",0.69,TRUE,0.246,0.69,0.064
"2015_nk_046","Nush","Nush",0.554,TRUE,0.338,0.554,0.108
"2015_nk_057","Nush","Nush",0.358,TRUE,0.326,0.358,0.316
"2015_nk_064","Nush","Nush",0.548,TRUE,0.338,0.548,0.114
"2015_nk_065","Nush","Nush",0.56,TRUE,0.332,0.56,0.108
"2015_nk_079","Kusko","Nush",0.594,FALSE,0.594,0.292,0.114
"2015_nk_088","Nush","Nush",0.544,TRUE,0.346,0.544,0.11
"2015_nk_101","Nush","Nush",0.518,TRUE,0.386,0.518,0.096
"2015_nk_102","Nush","Nush",0.538,TRUE,0.356,0.538,0.106
"2015_nk_106","Nush","Nush",0.496,TRUE,0.342,0.496,0.162
"2015_nk_116_1","Nush","Nush",0.536,TRUE,0.338,0.536,0.126
"2015_nk_116_2","Nush","Nush",0.902,TRUE,0.092,0.902,0.006
"2015_nk_121","Nush","Nush",0.904,TRUE,0.082,0.904,0.014
"2015_nk_133","Nush","Nush",0.758,TRUE,0.232,0.758,0.01
"2015_nk_138","Nush","Nush",0.9,TRUE,0.094,0.9,0.006
"2015_nk_147_redo","Nush","Nush",0.86,TRUE,0.112,0.86,0.028
"2015_nk_151_redo_1","Nush","Nush",0.504,TRUE,0.434,0.504,0.062
"2015_nk_152_redo_1","Nush","Nush",0.626,TRUE,0.296,0.626,0.078
