Cycle,Time,Iso,Sr88,Fish_id,Watershed,Year,Microns
81,42.444,7.0903149889690864e-001,0.1602454265836378,2015_yk_427,Yukon,2015,84.888
82,42.968,7.0977045482818790e-001,0.6435771539411509,2015_yk_427,Yukon,2015,85.936
83,43.492000000000004,7.1233422495442467e-001,0.8874999378858331,2015_yk_427,Yukon,2015,86.98400000000001
84,44.016000000000005,7.1250264337027247e-001,0.8369367186039922,2015_yk_427,Yukon,2015,88.03200000000001
85,44.540000000000006,7.1267122710600184e-001,0.4767472960344402,2015_yk_427,Yukon,2015,89.08000000000001
86,45.064,7.1649769357817683e-001,0.18671207802081935,2015_yk_427,Yukon,2015,90.128
94,49.256,7.0744958353530984e-001,0.12283402647547503,2015_yk_427,Yukon,2015,98.512
95,49.78,7.1229279335524176e-001,0.4811495127749773,2015_yk_427,Yukon,2015,99.56
96,50.304,7.1122946466323944e-001,0.7133167904805051,2015_yk_427,Yukon,2015,100.608
97,50.828,7.1355699575476483e-001,0.78722455644585565,2015_yk_427,Yukon,2015,101.656
98,51.352000000000004,7.1288923886070010e-001,0.820674329270772,2015_yk_427,Yukon,2015,102.70400000000001
99,51.876000000000005,7.1296864884834299e-001,0.838804894249933,2015_yk_427,Yukon,2015,103.75200000000001
100,52.400000000000006,7.1169752146111365e-001,0.876217012472496,2015_yk_427,Yukon,2015,104.80000000000001
101,52.92400000000001,7.1121745482503829e-001,0.892419201471738,2015_yk_427,Yukon,2015,105.84800000000001
102,53.448,7.1214001929415549e-001,0.875718151180726,2015_yk_427,Yukon,2015,106.896
103,53.972,7.1277353373659458e-001,0.8547246054810121,2015_yk_427,Yukon,2015,107.944
104,54.496,7.1101034469826951e-001,0.8858124803341563,2015_yk_427,Yukon,2015,108.992
105,55.02,7.1212796521885624e-001,0.946059754516955,2015_yk_427,Yukon,2015,110.04
106,55.544000000000004,7.1249413506622050e-001,0.9426384185971756,2015_yk_427,Yukon,2015,111.08800000000001
107,56.068000000000005,7.1191749655237602e-001,0.9532576601695815,2015_yk_427,Yukon,2015,112.13600000000001
108,56.592000000000006,7.1198845509159903e-001,0.9938120141911342,2015_yk_427,Yukon,2015,113.18400000000001
109,57.116,7.1190521559279696e-001,1.0355686685914505,2015_yk_427,Yukon,2015,114.232
110,57.64,7.1241643542355593e-001,0.9794201605048038,2015_yk_427,Yukon,2015,115.28
111,58.164,7.1203125718069493e-001,0.9848013160965634,2015_yk_427,Yukon,2015,116.328
112,58.688,7.1345809458067322e-001,0.9658916409397236,2015_yk_427,Yukon,2015,117.376
113,59.212,7.1153930522244702e-001,0.9873708214580934,2015_yk_427,Yukon,2015,118.424
114,59.736000000000004,7.1143430689031673e-001,0.9790340327410579,2015_yk_427,Yukon,2015,119.47200000000001
115,60.260000000000005,7.1154463849571892e-001,1.0144436648345945,2015_yk_427,Yukon,2015,120.52000000000001
116,60.784000000000006,7.1186263393597238e-001,1.005924049994876,2015_yk_427,Yukon,2015,121.56800000000001
117,61.30800000000001,7.1193075339298706e-001,0.9807101026791377,2015_yk_427,Yukon,2015,122.61600000000001
118,61.832,7.1253081991082223e-001,0.9547807397206924,2015_yk_427,Yukon,2015,123.664
119,62.356,7.1302871318766536e-001,0.9876396565665849,2015_yk_427,Yukon,2015,124.712
120,62.88,7.1206051495295419e-001,1.0108224635574894,2015_yk_427,Yukon,2015,125.76
121,63.404,7.1207911004976532e-001,0.9720106722791755,2015_yk_427,Yukon,2015,126.808
122,63.928000000000004,7.1132111919772822e-001,0.9605157783561462,2015_yk_427,Yukon,2015,127.85600000000001
123,64.452,7.1093327775828508e-001,0.9746118038722832,2015_yk_427,Yukon,2015,128.904
124,64.976,7.1131443112503523e-001,0.977728237082278,2015_yk_427,Yukon,2015,129.952
125,65.5,7.1224625451722456e-001,0.9515951046465414,2015_yk_427,Yukon,2015,131
126,66.024,7.1069381123344555e-001,0.9664026779317535,2015_yk_427,Yukon,2015,132.048
127,66.548,7.1213035001572456e-001,1.0067270392515282,2015_yk_427,Yukon,2015,133.096
128,67.072,7.1156865197640351e-001,0.975627235845376,2015_yk_427,Yukon,2015,134.144
129,67.596,7.1095893597502002e-001,0.9764620633280167,2015_yk_427,Yukon,2015,135.192
130,68.12,7.1093630043329181e-001,0.9829836302069966,2015_yk_427,Yukon,2015,136.24
131,68.644,7.1215653743323970e-001,1.007550460951372,2015_yk_427,Yukon,2015,137.288
132,69.168,7.1279759281116684e-001,0.9628680199547244,2015_yk_427,Yukon,2015,138.336
133,69.69200000000001,7.1151034446085748e-001,0.9496181607443717,2015_yk_427,Yukon,2015,139.38400000000001
134,70.21600000000001,7.1194604184200716e-001,0.9893979510798652,2015_yk_427,Yukon,2015,140.43200000000002
135,70.74000000000001,7.1081935418064812e-001,1.0051339720641392,2015_yk_427,Yukon,2015,141.48000000000002
136,71.26400000000001,7.1162843907005247e-001,1.005943316695158,2015_yk_427,Yukon,2015,142.52800000000002
137,71.78800000000001,7.1185364817210450e-001,1.0075283161981938,2015_yk_427,Yukon,2015,143.57600000000002
138,72.312,7.1123254843971928e-001,1.041898414184188,2015_yk_427,Yukon,2015,144.624
139,72.836,7.1135552780017153e-001,0.98796672199755875,2015_yk_427,Yukon,2015,145.672
140,73.36,7.1158602432877693e-001,0.9777752187230786,2015_yk_427,Yukon,2015,146.72
141,73.884,7.1203148545620121e-001,0.9845539149806852,2015_yk_427,Yukon,2015,147.768
142,74.408,7.1080782384493668e-001,1.0353276941716787,2015_yk_427,Yukon,2015,148.816
143,74.932,7.1263286665114267e-001,0.9973207307695446,2015_yk_427,Yukon,2015,149.864
144,75.456,7.1204862359900800e-001,0.9798254905581967,2015_yk_427,Yukon,2015,150.912
145,75.98,7.1178387555265743e-001,0.9997154233764517,2015_yk_427,Yukon,2015,151.96
146,76.504,7.1256512561518748e-001,1.0080315352923013,2015_yk_427,Yukon,2015,153.008
147,77.028,7.1129531438368476e-001,0.9748511232880344,2015_yk_427,Yukon,2015,154.056
148,77.552,7.1190987227147184e-001,1.0051054443179603,2015_yk_427,Yukon,2015,155.104
149,78.07600000000001,7.1050928902909261e-001,1.068304362928275,2015_yk_427,Yukon,2015,156.15200000000002
150,78.60000000000001,7.1145777494990259e-001,1.0303550883893524,2015_yk_427,Yukon,2015,157.20000000000002
151,79.12400000000001,7.1144048601858434e-001,1.0186235177938157,2015_yk_427,Yukon,2015,158.24800000000002
152,79.64800000000001,7.1197180609929400e-001,1.0074972426609423,2015_yk_427,Yukon,2015,159.29600000000002
153,80.172,7.1260803545948581e-001,1.091952986406787,2015_yk_427,Yukon,2015,160.344
154,80.696,7.1198398492762960e-001,1.0321565861613042,2015_yk_427,Yukon,2015,161.392
155,81.22,7.1108874759596241e-001,1.005016655187161,2015_yk_427,Yukon,2015,162.44
156,81.744,7.1155223431738235e-001,1.0326003703076114,2015_yk_427,Yukon,2015,163.488
157,82.268,7.1249354090494166e-001,1.0740167874259592,2015_yk_427,Yukon,2015,164.536
158,82.792,7.1207742138426355e-001,1.031651414015595,2015_yk_427,Yukon,2015,165.584
159,83.316,7.1047611807512023e-001,1.0154910101923946,2015_yk_427,Yukon,2015,166.632
160,83.84,7.1045537973624351e-001,1.05837505161426,2015_yk_427,Yukon,2015,167.68
161,84.364,7.1179184435069009e-001,1.0745784142420314,2015_yk_427,Yukon,2015,168.728
162,84.888,7.1142603134209681e-001,1.0323710835498698,2015_yk_427,Yukon,2015,169.776
163,85.412,7.1132993398018896e-001,1.045763059342242,2015_yk_427,Yukon,2015,170.824
164,85.936,7.1120686959375268e-001,1.0717292997912309,2015_yk_427,Yukon,2015,171.872
165,86.46000000000001,7.1165010800019002e-001,1.0605270312361337,2015_yk_427,Yukon,2015,172.92000000000002
166,86.98400000000001,7.1049637844831115e-001,1.0489803484356517,2015_yk_427,Yukon,2015,173.96800000000002
167,87.50800000000001,7.1087619458124918e-001,1.1004501840544847,2015_yk_427,Yukon,2015,175.01600000000002
168,88.03200000000001,7.1075531690213878e-001,1.1549615341722834,2015_yk_427,Yukon,2015,176.06400000000002
169,88.55600000000001,7.0988121016427286e-001,1.0952868831365006,2015_yk_427,Yukon,2015,177.11200000000002
170,89.08,7.1129298157621468e-001,1.0700690356021183,2015_yk_427,Yukon,2015,178.16
171,89.604,7.1073889267881007e-001,1.0841770502591035,2015_yk_427,Yukon,2015,179.208
172,90.128,7.1093055143834116e-001,1.084353070472324,2015_yk_427,Yukon,2015,180.256
173,90.652,7.1042392991822745e-001,1.0647682795832447,2015_yk_427,Yukon,2015,181.304
174,91.176,7.1179632927356573e-001,1.073484909835366,2015_yk_427,Yukon,2015,182.352
175,91.7,7.1032623103476022e-001,1.1458373178373222,2015_yk_427,Yukon,2015,183.4
176,92.224,7.1140880540008444e-001,1.1464112966070596,2015_yk_427,Yukon,2015,184.448
177,92.748,7.1259595796404651e-001,1.089282381391247,2015_yk_427,Yukon,2015,185.496
178,93.272,7.0999865057903744e-001,1.0915821228423772,2015_yk_427,Yukon,2015,186.544
179,93.796,7.0984283640529777e-001,1.1457103762925704,2015_yk_427,Yukon,2015,187.592
180,94.32000000000001,7.1147278327106411e-001,1.1166665988237734,2015_yk_427,Yukon,2015,188.64000000000001
181,94.84400000000001,7.1151263211216775e-001,1.0852019831819193,2015_yk_427,Yukon,2015,189.68800000000002
182,95.36800000000001,7.1203882988578804e-001,1.1391522024184009,2015_yk_427,Yukon,2015,190.73600000000002
183,95.89200000000001,7.1173762727792367e-001,1.1812603607549337,2015_yk_427,Yukon,2015,191.78400000000002
184,96.41600000000001,7.1094957598303898e-001,1.1436367605470976,2015_yk_427,Yukon,2015,192.83200000000002
185,96.94,7.1079870008461354e-001,1.1342302486570384,2015_yk_427,Yukon,2015,193.88
186,97.464,7.1036279496510912e-001,1.1784022979350095,2015_yk_427,Yukon,2015,194.928
187,97.988,7.1089829634659718e-001,1.1435695677958473,2015_yk_427,Yukon,2015,195.976
188,98.512,7.1075789896776242e-001,1.0601269144987333,2015_yk_427,Yukon,2015,197.024
189,99.036,7.1022826008212769e-001,1.1208631803750575,2015_yk_427,Yukon,2015,198.072
190,99.56,7.1253872578820276e-001,1.177784812555831,2015_yk_427,Yukon,2015,199.12
191,100.084,7.1095613118293366e-001,1.1670600649349754,2015_yk_427,Yukon,2015,200.168
192,100.608,7.1061054550882774e-001,1.1471966099037547,2015_yk_427,Yukon,2015,201.216
193,101.132,7.1051413321291945e-001,1.1832057086301382,2015_yk_427,Yukon,2015,202.264
194,101.656,7.1008445078734006e-001,1.1497151581456904,2015_yk_427,Yukon,2015,203.312
195,102.18,7.1282520583689379e-001,1.1282028274249871,2015_yk_427,Yukon,2015,204.36
196,102.70400000000001,7.1030414868829050e-001,1.1406395509157508,2015_yk_427,Yukon,2015,205.40800000000002
197,103.22800000000001,7.1101433957897608e-001,1.1970200728594045,2015_yk_427,Yukon,2015,206.45600000000002
198,103.75200000000001,7.1154858105565955e-001,1.1683888767659287,2015_yk_427,Yukon,2015,207.50400000000002
199,104.27600000000001,7.1155201507557786e-001,1.1475580160411023,2015_yk_427,Yukon,2015,208.55200000000002
200,104.80000000000001,7.1104673828478415e-001,1.1363019811740245,2015_yk_427,Yukon,2015,209.60000000000002
201,105.32400000000001,7.1239310443989168e-001,1.2012119797003793,2015_yk_427,Yukon,2015,210.64800000000002
202,105.848,7.1140378355595768e-001,1.1910857423583756,2015_yk_427,Yukon,2015,211.696
