Cycle,Time,Iso,Sr88,Fish_id,Watershed,Year,Microns
3,1.572,2.7951582864011639e+000,1.0401520041868881e-004,2015_yk_489a,Yukon,2015,3.144
4,2.096,Invalid Norm,3.0230188645461028e-006,2015_yk_489a,Yukon,2015,4.192
6,3.144,-2.1687407071137019e+000,7.0350000252770138e-005,2015_yk_489a,Yukon,2015,6.288
7,3.668,Invalid Norm,1.4401906877618885e-005,2015_yk_489a,Yukon,2015,7.336
8,4.192,Invalid Norm,2.0747840742281996e-006,2015_yk_489a,Yukon,2015,8.384
10,5.24,Invalid Norm,6.8216328789047378e-005,2015_yk_489a,Yukon,2015,10.48
11,5.764,Invalid Norm,3.6685939753990234e-005,2015_yk_489a,Yukon,2015,11.528
14,7.336,Invalid Norm,3.9293678367114033e-005,2015_yk_489a,Yukon,2015,14.672
15,7.86,Invalid Norm,1.7831720643010597e-007,2015_yk_489a,Yukon,2015,15.72
16,8.384,Invalid Norm,7.8647655021391667e-005,2015_yk_489a,Yukon,2015,16.768
17,8.908000000000001,Invalid Norm,5.1565504486939797e-006,2015_yk_489a,Yukon,2015,17.816000000000003
18,9.432000000000002,-4.2780072641358613e+000,1.2031294470327592e-005,2015_yk_489a,Yukon,2015,18.864000000000004
19,9.956,Invalid Norm,3.3604075664088343e-005,2015_yk_489a,Yukon,2015,19.912
24,12.576,3.7349097188608322e+000,3.3604075664088343e-005,2015_yk_489a,Yukon,2015,25.152
27,14.148,Invalid Norm,3.9293678367114033e-005,2015_yk_489a,Yukon,2015,28.296
28,14.672,Invalid Norm,7.2483676294634203e-005,2015_yk_489a,Yukon,2015,29.344
29,15.196000000000002,Invalid Norm,3.3129943574994900e-005,2015_yk_489a,Yukon,2015,30.392000000000003
30,15.720000000000002,Invalid Norm,2.7677440798316779e-005,2015_yk_489a,Yukon,2015,31.440000000000005
31,16.244,2.6197567574755078e+000,2.9336895000305454e-005,2015_yk_489a,Yukon,2015,32.488
32,16.768,Invalid Norm,6.9638775922720891e-005,2015_yk_489a,Yukon,2015,33.536
33,17.292,2.7303014412546891e+000,2.8862764945613466e-005,2015_yk_489a,Yukon,2015,34.584
34,17.816000000000003,Invalid Norm,2.7914505514892239e-005,2015_yk_489a,Yukon,2015,35.632000000000005
35,18.340000000000003,Invalid Norm,7.2246600952701053e-005,2015_yk_489a,Yukon,2015,36.68000000000001
39,20.436,Invalid Norm,4.4983313623968497e-005,2015_yk_489a,Yukon,2015,40.872
41,21.484,Invalid Norm,5.3754898425347288e-005,2015_yk_489a,Yukon,2015,42.968
42,22.008000000000003,X1.1556500790357704e+001,1.6535462876174595e-005,2015_yk_489a,Yukon,2015,44.016000000000005
44,23.056,Invalid Norm,1.3636085748096262e-006,2015_yk_489a,Yukon,2015,46.112
45,23.580000000000002,6.1284078364546912e-001,8.0781348867160622e-005,2015_yk_489a,Yukon,2015,47.160000000000004
47,24.628,Invalid Norm,2.2699094808484516e-005,2015_yk_489a,Yukon,2015,49.256
48,25.152,Invalid Norm,1.0134808613569571e-005,2015_yk_489a,Yukon,2015,50.304
50,26.200000000000003,Invalid Norm,3.9712545588416908e-006,2015_yk_489a,Yukon,2015,52.400000000000006
52,27.248,Invalid Norm,4.5457451364732749e-005,2015_yk_489a,Yukon,2015,54.496
53,27.772000000000002,Invalid Norm,1.5824277034514689e-005,2015_yk_489a,Yukon,2015,55.544000000000004
55,28.82,Invalid Norm,6.0867051011238946e-005,2015_yk_489a,Yukon,2015,57.64
57,29.868000000000002,Invalid Norm,1.8431960940023747e-005,2015_yk_489a,Yukon,2015,59.736000000000004
58,30.392000000000003,-4.6555464377746808e-001,7.2720751693009400e-005,2015_yk_489a,Yukon,2015,60.784000000000006
59,30.916000000000004,-1.5682466619268522e+000,4.8539352190830865e-005,2015_yk_489a,Yukon,2015,61.83200000000001
60,31.44,Invalid Norm,1.0472644933541883e-004,2015_yk_489a,Yukon,2015,62.88
63,33.012,Invalid Norm,3.8345408989244774e-005,2015_yk_489a,Yukon,2015,66.024
64,33.536,Invalid Norm,6.2289487632438809e-005,2015_yk_489a,Yukon,2015,67.072
65,34.06,Invalid Norm,1.1231313610023325e-004,2015_yk_489a,Yukon,2015,68.12
67,35.108000000000004,Invalid Norm,3.6211806195366944e-005,2015_yk_489a,Yukon,2015,70.21600000000001
68,35.632000000000005,Invalid Norm,5.2095403474574059e-005,2015_yk_489a,Yukon,2015,71.26400000000001
69,36.156000000000006,Invalid Norm,4.9013491627345320e-005,2015_yk_489a,Yukon,2015,72.31200000000001
72,37.728,Invalid Norm,1.5113091701738301e-005,2015_yk_489a,Yukon,2015,75.456
75,39.300000000000004,2.4230146593430519e+000,1.5350153422812886e-005,2015_yk_489a,Yukon,2015,78.60000000000001
80,41.92,Invalid Norm,3.2892877615110761e-005,2015_yk_489a,Yukon,2015,83.84
82,42.968,Invalid Norm,4.0004880993779019e-005,2015_yk_489a,Yukon,2015,85.936
83,43.492000000000004,Invalid Norm,4.9194911575672386e-006,2015_yk_489a,Yukon,2015,86.98400000000001
84,44.016000000000005,Invalid Norm,5.6306692000451623e-006,2015_yk_489a,Yukon,2015,88.03200000000001
87,45.588,Invalid Norm,6.2763633625053164e-005,2015_yk_489a,Yukon,2015,91.176
88,46.112,Invalid Norm,5.7073896635414178e-005,2015_yk_489a,Yukon,2015,92.224
91,47.684000000000005,Invalid Norm,1.0608929738654016e-005,2015_yk_489a,Yukon,2015,95.36800000000001
92,48.208000000000006,Invalid Norm,2.8625700003270739e-005,2015_yk_489a,Yukon,2015,96.41600000000001
93,48.732,Invalid Norm,3.9056610937927513e-005,2015_yk_489a,Yukon,2015,97.464
94,49.256,-9.3860283351134921e-001,7.3431978227239279e-005,2015_yk_489a,Yukon,2015,98.512
95,49.78,Invalid Norm,2.5306796742533770e-005,2015_yk_489a,Yukon,2015,99.56
97,50.828,-3.5958978544708260e+000,2.2224967918846035e-005,2015_yk_489a,Yukon,2015,101.656
98,51.352000000000004,Invalid Norm,1.5824277034514689e-005,2015_yk_489a,Yukon,2015,102.70400000000001
100,52.400000000000006,-3.0293598969895436e-001,5.3280756728210155e-005,2015_yk_489a,Yukon,2015,104.80000000000001
102,53.448,-1.6382698969341243e+000,3.9767813395039813e-005,2015_yk_489a,Yukon,2015,106.896
103,53.972,-6.6121686012441186e-002,1.5546351783175089e-004,2015_yk_489a,Yukon,2015,107.944
109,57.116,-4.1536393303942640e+000,5.8677286604971236e-006,2015_yk_489a,Yukon,2015,114.232
110,57.64,Invalid Norm,4.1537536713134133e-007,2015_yk_489a,Yukon,2015,115.28
112,58.688,5.6332984167335862e+000,5.3280756728210155e-005,2015_yk_489a,Yukon,2015,117.376
114,59.736000000000004,Invalid Norm,2.1039651683841967e-005,2015_yk_489a,Yukon,2015,119.47200000000001
116,60.784000000000006,Invalid Norm,1.2268355456750526e-005,2015_yk_489a,Yukon,2015,121.56800000000001
118,61.832,-3.3650875757968359e+000,4.2612628310742225e-005,2015_yk_489a,Yukon,2015,123.664
121,63.404,Invalid Norm,1.6006670181740773e-006,2015_yk_489a,Yukon,2015,126.808
122,63.928000000000004,Invalid Norm,5.3517827548444860e-005,2015_yk_489a,Yukon,2015,127.85600000000001
123,64.452,Invalid Norm,1.4401906877618885e-005,2015_yk_489a,Yukon,2015,128.904
127,66.548,Invalid Norm,3.7871274639301241e-005,2015_yk_489a,Yukon,2015,133.096
129,67.596,Invalid Norm,1.2742477599149893e-005,2015_yk_489a,Yukon,2015,135.192
130,68.12,X-1.0719791051165966e+001,1.5587215200556009e-005,2015_yk_489a,Yukon,2015,136.24
131,68.644,Invalid Norm,7.5565660882098435e-005,2015_yk_489a,Yukon,2015,137.288
133,69.69200000000001,1.8544876747169559e+000,1.9854336861700077e-005,2015_yk_489a,Yukon,2015,139.38400000000001
134,70.21600000000001,1.4162140584142907e-001,2.0802588606348986e-005,2015_yk_489a,Yukon,2015,140.43200000000002
135,70.74000000000001,Invalid Norm,1.7720773742171069e-005,2015_yk_489a,Yukon,2015,141.48000000000002
136,71.26400000000001,Invalid Norm,6.6082661903239380e-005,2015_yk_489a,Yukon,2015,142.52800000000002
138,72.312,Invalid Norm,7.0530268107446255e-006,2015_yk_489a,Yukon,2015,144.624
141,73.884,Invalid Norm,4.3323833311141287e-005,2015_yk_489a,Yukon,2015,147.768
148,77.552,Invalid Norm,1.2416745004319467e-004,2015_yk_489a,Yukon,2015,155.104
149,78.07600000000001,1.5258348859274562e+000,6.4660219856136790e-005,2015_yk_489a,Yukon,2015,156.15200000000002
155,81.22,-2.8593354176552466e+000,1.4164845382538978e-005,2015_yk_489a,Yukon,2015,162.44
157,82.268,Invalid Norm,5.1384192200510900e-005,2015_yk_489a,Yukon,2015,164.536
158,82.792,2.0087554829984708e+000,4.4509176109198869e-005,2015_yk_489a,Yukon,2015,165.584
160,83.84,-5.1116040358877546e-001,8.2440891690185425e-005,2015_yk_489a,Yukon,2015,167.68
161,84.364,Invalid Norm,5.3043685964418365e-005,2015_yk_489a,Yukon,2015,168.728
162,84.888,7.1091566473833945e-001,3.7036682130835041e-001,2015_yk_489a,Yukon,2015,169.776
163,85.412,7.0958229103605774e-001,7.1736232932785415e-001,2015_yk_489a,Yukon,2015,170.824
164,85.936,7.0782866618641682e-001,8.5870166403863812e-001,2015_yk_489a,Yukon,2015,171.872
165,86.46000000000001,7.0785625423064602e-001,8.4924964132097702e-001,2015_yk_489a,Yukon,2015,172.92000000000002
166,86.98400000000001,7.0817310734789096e-001,7.4631725226445444e-001,2015_yk_489a,Yukon,2015,173.96800000000002
167,87.50800000000001,7.0814009618368057e-001,6.8834092582199446e-001,2015_yk_489a,Yukon,2015,175.01600000000002
168,88.03200000000001,7.0687320783141372e-001,6.7911489380106449e-001,2015_yk_489a,Yukon,2015,176.06400000000002
169,88.55600000000001,7.0866236162519136e-001,6.8993883225177288e-001,2015_yk_489a,Yukon,2015,177.11200000000002
170,89.08,7.1025907722689263e-001,6.4487172660802694e-001,2015_yk_489a,Yukon,2015,178.16
171,89.604,7.0843522971654804e-001,6.5793815522580090e-001,2015_yk_489a,Yukon,2015,179.208
172,90.128,7.0871228763324112e-001,6.8536020150496280e-001,2015_yk_489a,Yukon,2015,180.256
173,90.652,7.0796944390805883e-001,6.6972914031765940e-001,2015_yk_489a,Yukon,2015,181.304
174,91.176,7.0803818503548166e-001,6.5059313237095262e-001,2015_yk_489a,Yukon,2015,182.352
175,91.7,7.0704365513238576e-001,6.9533236938136778e-001,2015_yk_489a,Yukon,2015,183.4
176,92.224,7.0682972793871401e-001,7.3176926334644443e-001,2015_yk_489a,Yukon,2015,184.448
177,92.748,7.0902991523710024e-001,7.1572420019345440e-001,2015_yk_489a,Yukon,2015,185.496
178,93.272,7.0837022185652798e-001,7.2030873244018023e-001,2015_yk_489a,Yukon,2015,186.544
179,93.796,7.0701212307257599e-001,7.6409262633170483e-001,2015_yk_489a,Yukon,2015,187.592
180,94.32000000000001,7.0841716641292585e-001,7.5028721538631304e-001,2015_yk_489a,Yukon,2015,188.64000000000001
181,94.84400000000001,7.0640309572206572e-001,7.1865612536213808e-001,2015_yk_489a,Yukon,2015,189.68800000000002
182,95.36800000000001,7.0832489582998592e-001,7.2415125426567073e-001,2015_yk_489a,Yukon,2015,190.73600000000002
183,95.89200000000001,7.0882133580812590e-001,7.3250598172567649e-001,2015_yk_489a,Yukon,2015,191.78400000000002
184,96.41600000000001,7.0860713010687992e-001,7.3996036553499844e-001,2015_yk_489a,Yukon,2015,192.83200000000002
185,96.94,7.0689385726656906e-001,7.2484937278954664e-001,2015_yk_489a,Yukon,2015,193.88
186,97.464,7.0819732238793243e-001,7.6450151075502426e-001,2015_yk_489a,Yukon,2015,194.928
187,97.988,7.0727424377051173e-001,8.0879820768710098e-001,2015_yk_489a,Yukon,2015,195.976
188,98.512,7.0714510537823116e-001,8.0887120830174153e-001,2015_yk_489a,Yukon,2015,197.024
189,99.036,7.0862675834524680e-001,8.1069899297939518e-001,2015_yk_489a,Yukon,2015,198.072
190,99.56,7.0834232176485867e-001,8.3502060058126648e-001,2015_yk_489a,Yukon,2015,199.12
191,100.084,7.0719567780811454e-001,8.5901625934645243e-001,2015_yk_489a,Yukon,2015,200.168
192,100.608,7.0903217241129735e-001,8.4431934258668317e-001,2015_yk_489a,Yukon,2015,201.216
193,101.132,7.0714906393673715e-001,8.5846245523504827e-001,2015_yk_489a,Yukon,2015,202.264
194,101.656,7.0813634264671166e-001,8.8904664287422208e-001,2015_yk_489a,Yukon,2015,203.312
195,102.18,7.0905038362324724e-001,8.9863367267259031e-001,2015_yk_489a,Yukon,2015,204.36
196,102.70400000000001,7.0719318629182992e-001,9.0472614161025089e-001,2015_yk_489a,Yukon,2015,205.40800000000002
197,103.22800000000001,7.0587374764106503e-001,9.4071493955382779e-001,2015_yk_489a,Yukon,2015,206.45600000000002
198,103.75200000000001,7.0893094144079960e-001,9.8146186643528988e-001,2015_yk_489a,Yukon,2015,207.50400000000002
199,104.27600000000001,7.0802248549702684e-001,9.6171101949248550e-001,2015_yk_489a,Yukon,2015,208.55200000000002
200,104.80000000000001,7.0832427698622280e-001,9.4585949973371075e-001,2015_yk_489a,Yukon,2015,209.60000000000002
201,105.32400000000001,7.0748511178584728e-001,9.9971770552696959e-001,2015_yk_489a,Yukon,2015,210.64800000000002
202,105.848,7.0702630430427671e-001,9.8612009996418171e-001,2015_yk_489a,Yukon,2015,211.696
203,106.372,7.0667345669744319e-001,9.4578746642684186e-001,2015_yk_489a,Yukon,2015,212.744
204,106.896,7.0943461339640113e-001,9.9434941120504661e-001,2015_yk_489a,Yukon,2015,213.792
205,107.42,7.0732305722373801e-001,1.0392081827648252e+000,2015_yk_489a,Yukon,2015,214.84
206,107.944,7.0725385928769846e-001,9.9456477026000001e-001,2015_yk_489a,Yukon,2015,215.888
207,108.468,7.0748771971379498e-001,9.7980831108751643e-001,2015_yk_489a,Yukon,2015,216.936
208,108.992,7.0842390374910569e-001,1.0222808066758584e+000,2015_yk_489a,Yukon,2015,217.984
209,109.516,7.0735996305102267e-001,1.0437654551729716e+000,2015_yk_489a,Yukon,2015,219.032
210,110.04,7.0744042187613776e-001,1.0060106404901656e+000,2015_yk_489a,Yukon,2015,220.08
211,110.56400000000001,7.0822249682298444e-001,1.0411538275821031e+000,2015_yk_489a,Yukon,2015,221.12800000000001
212,111.08800000000001,7.0906993475535685e-001,1.0839603793351005e+000,2015_yk_489a,Yukon,2015,222.17600000000002
213,111.61200000000001,7.0754584553439692e-001,1.0406108740635456e+000,2015_yk_489a,Yukon,2015,223.22400000000002
