Cycle,Time,Iso,Sr88,Microns,Fish_id,Watershed,Year
77,40.348,7.0921318121346955e-001,0.4234218553377791,80.696,2017_kk_260redo,Kusko,2017
78,40.872,7.1054119276505945e-001,0.7447695431153145,81.744,2017_kk_260redo,Kusko,2017
79,41.396,7.0858677006703064e-001,0.834249513055763,82.792,2017_kk_260redo,Kusko,2017
80,41.92,7.0784872359716400e-001,0.8273412762144864,83.84,2017_kk_260redo,Kusko,2017
81,42.444,7.0811960342012148e-001,0.7870467136542079,84.888,2017_kk_260redo,Kusko,2017
82,42.968,7.0790951239049704e-001,0.784933862306138,85.936,2017_kk_260redo,Kusko,2017
83,43.492000000000004,7.0755686529136619e-001,0.7688025781728673,86.98400000000001,2017_kk_260redo,Kusko,2017
84,44.016000000000005,7.0762831442494056e-001,0.7659578033001414,88.03200000000001,2017_kk_260redo,Kusko,2017
85,44.540000000000006,7.0991086398917969e-001,0.761708365077437,89.08000000000001,2017_kk_260redo,Kusko,2017
86,45.064,7.0967084732523222e-001,0.7646649702684034,90.128,2017_kk_260redo,Kusko,2017
87,45.588,7.0808988521864580e-001,0.7760407011812219,91.176,2017_kk_260redo,Kusko,2017
88,46.112,7.1012132165470487e-001,0.7739100002305331,92.224,2017_kk_260redo,Kusko,2017
89,46.636,7.0958561862086500e-001,0.7599614954858313,93.272,2017_kk_260redo,Kusko,2017
90,47.160000000000004,7.0953696722617998e-001,0.7493263285780744,94.32000000000001,2017_kk_260redo,Kusko,2017
91,47.684000000000005,7.0908130907255296e-001,0.7552879855183903,95.36800000000001,2017_kk_260redo,Kusko,2017
92,48.208000000000006,7.0834911490141350e-001,0.7676714210631157,96.41600000000001,2017_kk_260redo,Kusko,2017
93,48.732,7.0791982017684163e-001,0.7788876492090915,97.464,2017_kk_260redo,Kusko,2017
94,49.256,7.0726420780564991e-001,0.7719615817475489,98.512,2017_kk_260redo,Kusko,2017
95,49.78,7.0998683096180859e-001,0.7697767054084244,99.56,2017_kk_260redo,Kusko,2017
96,50.304,7.0944082714155821e-001,0.76617508946939,100.608,2017_kk_260redo,Kusko,2017
97,50.828,7.0902840212011309e-001,0.7619937702037163,101.656,2017_kk_260redo,Kusko,2017
98,51.352000000000004,7.0766185940726467e-001,0.7588390020261864,102.70400000000001,2017_kk_260redo,Kusko,2017
99,51.876000000000005,7.0930400506594860e-001,0.7462550704031863,103.75200000000001,2017_kk_260redo,Kusko,2017
100,52.400000000000006,7.0860959182125016e-001,0.7451879375963898,104.80000000000001,2017_kk_260redo,Kusko,2017
101,52.92400000000001,7.0944188630792493e-001,0.7521574048249734,105.84800000000001,2017_kk_260redo,Kusko,2017
102,53.448,7.0934747449925561e-001,0.7509173953669149,106.896,2017_kk_260redo,Kusko,2017
103,53.972,7.0838924791701929e-001,0.7423267314490188,107.944,2017_kk_260redo,Kusko,2017
104,54.496,7.0922946267775477e-001,0.7325623025611264,108.992,2017_kk_260redo,Kusko,2017
105,55.02,7.0886904279127483e-001,0.7281131070525744,110.04,2017_kk_260redo,Kusko,2017
106,55.544000000000004,7.0845566809781757e-001,0.7290577016085592,111.08800000000001,2017_kk_260redo,Kusko,2017
107,56.068000000000005,7.0976825906456609e-001,0.7459114259125831,112.13600000000001,2017_kk_260redo,Kusko,2017
108,56.592000000000006,7.0837657918713182e-001,0.7534918763599554,113.18400000000001,2017_kk_260redo,Kusko,2017
109,57.116,7.0974887841712064e-001,0.7564156762689708,114.232,2017_kk_260redo,Kusko,2017
110,57.64,7.0851083784149138e-001,0.7577180791276099,115.28,2017_kk_260redo,Kusko,2017
111,58.164,7.1112133113394482e-001,0.760908170367261,116.328,2017_kk_260redo,Kusko,2017
112,58.688,7.0908640716734661e-001,0.7473745493490851,117.376,2017_kk_260redo,Kusko,2017
113,59.212,7.0933504339996756e-001,0.7371972162295608,118.424,2017_kk_260redo,Kusko,2017
114,59.736000000000004,7.1150314865865361e-001,0.739747691922587,119.47200000000001,2017_kk_260redo,Kusko,2017
115,60.260000000000005,7.0857110179987282e-001,0.7496586132286299,120.52000000000001,2017_kk_260redo,Kusko,2017
116,60.784000000000006,7.0818787459798660e-001,0.7354986796018247,121.56800000000001,2017_kk_260redo,Kusko,2017
117,61.30800000000001,7.0916948237278277e-001,0.7275140492540704,122.61600000000001,2017_kk_260redo,Kusko,2017
118,61.832,7.0981014366376438e-001,0.711805956402089,123.664,2017_kk_260redo,Kusko,2017
119,62.356,7.0816972048902760e-001,0.6930631617719083,124.712,2017_kk_260redo,Kusko,2017
120,62.88,7.0985983257014140e-001,0.6907100631777736,125.76,2017_kk_260redo,Kusko,2017
121,63.404,7.0974963584510697e-001,0.6842867404182418,126.808,2017_kk_260redo,Kusko,2017
122,63.928000000000004,7.0866659187099257e-001,0.6789041721976243,127.85600000000001,2017_kk_260redo,Kusko,2017
123,64.452,7.0701721626387060e-001,0.6666605084945955,128.904,2017_kk_260redo,Kusko,2017
124,64.976,7.0846569921389646e-001,0.6732035164165613,129.952,2017_kk_260redo,Kusko,2017
125,65.5,7.0939117394991169e-001,0.6938041364494169,131,2017_kk_260redo,Kusko,2017
126,66.024,7.0960805498948276e-001,0.6781354601207327,132.048,2017_kk_260redo,Kusko,2017
127,66.548,7.1033230912638523e-001,0.6667380075804283,133.096,2017_kk_260redo,Kusko,2017
128,67.072,7.1031578552267272e-001,0.665626249738895,134.144,2017_kk_260redo,Kusko,2017
129,67.596,7.0957223729747254e-001,0.658054864803933,135.192,2017_kk_260redo,Kusko,2017
130,68.12,7.0984928881868414e-001,0.6498095904191173,136.24,2017_kk_260redo,Kusko,2017
131,68.644,7.0799984598665755e-001,0.6335023861721106,137.288,2017_kk_260redo,Kusko,2017
132,69.168,7.1017890902789871e-001,0.6338346029293447,138.336,2017_kk_260redo,Kusko,2017
133,69.69200000000001,7.0970698101910368e-001,0.6202846870133881,139.38400000000001,2017_kk_260redo,Kusko,2017
134,70.21600000000001,7.0881442861357602e-001,0.5971098155460215,140.43200000000002,2017_kk_260redo,Kusko,2017
135,70.74000000000001,7.0884058579350961e-001,0.6042759824981794,141.48000000000002,2017_kk_260redo,Kusko,2017
136,71.26400000000001,7.0775068896241944e-001,0.6207822077249523,142.52800000000002,2017_kk_260redo,Kusko,2017
137,71.78800000000001,7.0866309726824495e-001,0.6119864921010232,143.57600000000002,2017_kk_260redo,Kusko,2017
138,72.312,7.0857982662144348e-001,0.5973968025624259,144.624,2017_kk_260redo,Kusko,2017
139,72.836,7.0656984297864522e-001,0.5895078494792858,145.672,2017_kk_260redo,Kusko,2017
140,73.36,7.0889466441911519e-001,0.5911405133802421,146.72,2017_kk_260redo,Kusko,2017
141,73.884,7.0906825888816005e-001,0.5875091769694163,147.768,2017_kk_260redo,Kusko,2017
142,74.408,7.0824884185474524e-001,0.5821731572875785,148.816,2017_kk_260redo,Kusko,2017
143,74.932,7.0895403337873197e-001,0.570763816541931,149.864,2017_kk_260redo,Kusko,2017
144,75.456,7.0790466589486378e-001,0.5717803690559468,150.912,2017_kk_260redo,Kusko,2017
145,75.98,7.0780178649291448e-001,0.5683992997563356,151.96,2017_kk_260redo,Kusko,2017
146,76.504,7.1075825096437373e-001,0.5706809180484258,153.008,2017_kk_260redo,Kusko,2017
147,77.028,7.0867006957211343e-001,0.570670860875818,154.056,2017_kk_260redo,Kusko,2017
148,77.552,7.1159370085081808e-001,0.5750855163565809,155.104,2017_kk_260redo,Kusko,2017
149,78.07600000000001,7.0707732084192843e-001,0.5653765758434638,156.15200000000002,2017_kk_260redo,Kusko,2017
150,78.60000000000001,7.1146336057739390e-001,0.5468932915285125,157.20000000000002,2017_kk_260redo,Kusko,2017
151,79.12400000000001,7.1003699411006638e-001,0.5602809943587532,158.24800000000002,2017_kk_260redo,Kusko,2017
152,79.64800000000001,7.0935890495857501e-001,0.5751942293507081,159.29600000000002,2017_kk_260redo,Kusko,2017
153,80.172,7.1056819173422237e-001,0.563529257677423,160.344,2017_kk_260redo,Kusko,2017
154,80.696,7.0927765457444591e-001,0.5494389085970914,161.392,2017_kk_260redo,Kusko,2017
155,81.22,7.0887692824542581e-001,0.5492051600905481,162.44,2017_kk_260redo,Kusko,2017
156,81.744,7.0865592969203872e-001,0.5399224249960451,163.488,2017_kk_260redo,Kusko,2017
157,82.268,7.0947420318655396e-001,0.5485386236467193,164.536,2017_kk_260redo,Kusko,2017
158,82.792,7.0687305305590564e-001,0.5567859635256198,165.584,2017_kk_260redo,Kusko,2017
159,83.316,7.0979062417196870e-001,0.5537190527835325,166.632,2017_kk_260redo,Kusko,2017
160,83.84,7.0879819757883111e-001,0.5548075421246123,167.68,2017_kk_260redo,Kusko,2017
161,84.364,7.1050995945064555e-001,0.5557840696844516,168.728,2017_kk_260redo,Kusko,2017
162,84.888,7.0624416411847124e-001,0.5535763542699332,169.776,2017_kk_260redo,Kusko,2017
163,85.412,7.0878965051290999e-001,0.5532025661594422,170.824,2017_kk_260redo,Kusko,2017
164,85.936,7.0949331824293249e-001,0.538752614801303,171.872,2017_kk_260redo,Kusko,2017
165,86.46000000000001,7.0985557224153184e-001,0.5160580786718992,172.92000000000002,2017_kk_260redo,Kusko,2017
166,86.98400000000001,7.0856927741569975e-001,0.5168070421764842,173.96800000000002,2017_kk_260redo,Kusko,2017
167,87.50800000000001,7.0810558278503222e-001,0.5201036328842904,175.01600000000002,2017_kk_260redo,Kusko,2017
