"Cycle","time","Iso","Sr88","Time","Microns","Fish_id","Watershed","Year","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
1,0.524,0.7092411,2.4124864,0.524,1.048,"2011_nk_149","Nush",2011,NA,NA,NA,782.596753996877,915.620452557742,892.896,0.708574383464567
2,1.048,0.7089384,2.5377676,1.048,2.096,"2011_nk_149","Nush",2011,NA,NA,NA,782.596753996877,915.620452557742,892.896,0.708574383464567
3,1.524,0.7095279,2.5705039,1.572,3.144,"2011_nk_149","Nush",2011,NA,NA,NA,782.596753996877,915.620452557742,892.896,0.708574383464567
4,2.048,0.7101543,2.6079733,2.096,4.192,"2011_nk_149","Nush",2011,NA,NA,NA,782.596753996877,915.620452557742,892.896,0.708574383464567
5,2.524,0.7092939,2.6485424,2.62,5.24,"2011_nk_149","Nush",2011,NA,NA,NA,782.596753996877,915.620452557742,892.896,0.708574383464567
6,3.048,0.7093538,2.6370649,3.144,6.288,"2011_nk_149","Nush",2011,NA,NA,NA,782.596753996877,915.620452557742,892.896,0.708574383464567
7,3.524,0.7095823,2.6615169,3.668,7.336,"2011_nk_149","Nush",2011,NA,NA,NA,782.596753996877,915.620452557742,892.896,0.708574383464567
8,4.048,0.7089762,2.7292893,4.192,8.384,"2011_nk_149","Nush",2011,NA,NA,NA,782.596753996877,915.620452557742,892.896,0.708574383464567
9,4.524,0.7092602,2.7036387,4.716,9.432,"2011_nk_149","Nush",2011,NA,NA,NA,782.596753996877,915.620452557742,892.896,0.708574383464567
10,5.048,0.7093835,2.6871133,5.24,10.48,"2011_nk_149","Nush",2011,NA,NA,NA,782.596753996877,915.620452557742,892.896,0.708574383464567
11,5.524,0.7095382,2.733458,5.764,11.528,"2011_nk_149","Nush",2011,NA,NA,NA,782.596753996877,915.620452557742,892.896,0.708574383464567
12,6.048,0.708647,2.6908956,6.288,12.576,"2011_nk_149","Nush",2011,NA,NA,NA,782.596753996877,915.620452557742,892.896,0.708574383464567
13,6.524,0.7093787,2.7445568,6.812,13.624,"2011_nk_149","Nush",2011,NA,NA,NA,782.596753996877,915.620452557742,892.896,0.708574383464567
14,7.048,0.7094695,2.7184457,7.336,14.672,"2011_nk_149","Nush",2011,NA,NA,NA,782.596753996877,915.620452557742,892.896,0.708574383464567
15,7.524,0.7091337,2.7484891,7.86,15.72,"2011_nk_149","Nush",2011,NA,NA,NA,782.596753996877,915.620452557742,892.896,0.708574383464567
16,8.048,0.7088729,2.7601842,8.384,16.768,"2011_nk_149","Nush",2011,NA,NA,NA,782.596753996877,915.620452557742,892.896,0.708574383464567
