"Cycle","time","Iso","Sr88","Time","Microns","Fish_id","Watershed","Year","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
1,0.524,0.709235,2.655437,0.524,1.048,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
2,1.048,0.708895,2.693339,1.048,2.096,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
3,1.572,0.709213,2.735235,1.572,3.144,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
4,2.096,0.708961,2.621286,2.096,4.192,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
5,2.62,0.70867,2.660889,2.62,5.24,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
6,3.144,0.709007,2.65035,3.144,6.288,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
7,3.668,0.708869,2.651355,3.668,7.336,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
8,4.192,0.709359,2.678625,4.192,8.384,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
9,4.716,0.708898,2.637381,4.716,9.432,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
10,5.24,0.709583,2.632119,5.24,10.48,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
11,5.764,0.709732,2.604262,5.764,11.528,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
12,6.288,0.709341,2.611843,6.288,12.576,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
13,6.812,0.709052,2.627929,6.812,13.624,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
14,7.336,0.708947,2.654527,7.336,14.672,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
15,7.86,0.709367,2.615579,7.86,15.72,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
16,8.384,0.709029,2.646718,8.384,16.768,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
17,8.908,0.709904,2.652701,8.908,17.816,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
18,9.432,0.708863,2.582743,9.432,18.864,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
19,9.956,0.709458,2.621859,9.956,19.912,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
20,10.48,0.709113,2.719418,10.48,20.96,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
21,11.004,0.7091,2.755532,11.004,22.008,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
22,11.528,0.709735,2.725368,11.528,23.056,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
23,12.052,0.709518,2.701929,12.052,24.104,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
24,12.576,0.708702,2.645126,12.576,25.152,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
25,13.1,0.708626,2.614583,13.1,26.2,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
26,13.624,0.709165,2.622449,13.624,27.248,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
27,14.148,0.708819,2.645767,14.148,28.296,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
28,14.672,0.708792,2.654336,14.672,29.344,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
29,15.196,0.70858,2.668655,15.196,30.392,"2011_nk_23b","Nush",2011,NA,NA,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
30,15.72,0.709293,2.671403,15.72,31.44,"2011_nk_23b","Nush",2011,0.709213616666666,2.76989848333333,NA,706.485977340826,795.925085030972,942.152,0.705443941176471
31,16.244,0.710004,2.702643,16.244,32.488,"2011_nk_23b","Nush",2011,0.709223066666666,2.77841538333333,0.0085168999999996,706.485977340826,795.925085030972,942.152,0.705443941176471
32,16.768,0.709628,2.683329,16.768,33.536,"2011_nk_23b","Nush",2011,0.709224816666666,2.78601473333333,0.00759935,706.485977340826,795.925085030972,942.152,0.705443941176471
33,17.292,0.709575,2.749259,17.292,34.584,"2011_nk_23b","Nush",2011,0.7092234,2.79460748333333,0.00859275000000048,706.485977340826,795.925085030972,942.152,0.705443941176471
34,17.816,0.708995,2.77873,17.816,35.632,"2011_nk_23b","Nush",2011,0.709230466666666,2.80550168333333,0.0108941999999996,706.485977340826,795.925085030972,942.152,0.705443941176471
35,18.34,0.709483,2.798034,18.34,36.68,"2011_nk_23b","Nush",2011,0.709241416666666,2.81600913333333,0.01050745,706.485977340826,795.925085030972,942.152,0.705443941176471
36,18.864,0.709787,2.746166,18.864,37.728,"2011_nk_23b","Nush",2011,0.709241616666666,2.82698495,0.0109758166666669,706.485977340826,795.925085030972,942.152,0.705443941176471
37,19.388,0.708587,2.788409,19.388,38.776,"2011_nk_23b","Nush",2011,0.709243683333333,2.83808015,0.0110952000000002,706.485977340826,795.925085030972,942.152,0.705443941176471
38,19.912,0.70903,2.823787,19.912,39.824,"2011_nk_23b","Nush",2011,0.70924395,2.84786951666667,0.00978936666666685,706.485977340826,795.925085030972,942.152,0.705443941176471
39,20.436,0.709297,2.822635,20.436,40.872,"2011_nk_23b","Nush",2011,0.709243766666666,2.86000491666667,0.0121354,706.485977340826,795.925085030972,942.152,0.705443941176471
40,20.96,0.709018,2.759943,20.96,41.92,"2011_nk_23b","Nush",2011,0.709239933333333,2.87335036666667,0.0133454500000001,706.485977340826,795.925085030972,942.152,0.705443941176471
41,21.484,0.70956,2.779156,21.484,42.968,"2011_nk_23b","Nush",2011,0.709227583333333,2.88596865,0.012618283333333,706.485977340826,795.925085030972,942.152,0.705443941176471
42,22.008,0.709165,2.791449,22.008,44.016,"2011_nk_23b","Nush",2011,0.709222033333333,2.8980608,0.01209215,706.485977340826,795.925085030972,942.152,0.705443941176471
43,22.532,0.70933,2.85995,22.532,45.064,"2011_nk_23b","Nush",2011,0.709222416666666,2.90975506666667,0.0116942666666664,706.485977340826,795.925085030972,942.152,0.705443941176471
44,23.056,0.709371,2.880074,23.056,46.112,"2011_nk_23b","Nush",2011,0.709222666666666,2.92203698333333,0.0122819166666668,706.485977340826,795.925085030972,942.152,0.705443941176471
45,23.58,0.709149,2.895109,23.58,47.16,"2011_nk_23b","Nush",2011,0.70922275,2.9358704,0.0138334166666665,706.485977340826,795.925085030972,942.152,0.705443941176471
46,24.104,0.708883,2.863496,24.104,48.208,"2011_nk_23b","Nush",2011,0.709226883333333,2.95019588333333,0.0143254833333337,706.485977340826,795.925085030972,942.152,0.705443941176471
47,24.628,0.709245,2.841026,24.628,49.256,"2011_nk_23b","Nush",2011,0.7092166,2.96472705,0.0145311666666665,706.485977340826,795.925085030972,942.152,0.705443941176471
48,25.152,0.708811,2.857442,25.152,50.304,"2011_nk_23b","Nush",2011,0.70922975,2.98092628333333,0.0161992333333334,706.485977340826,795.925085030972,942.152,0.705443941176471
49,25.676,0.709479,2.942822,25.676,51.352,"2011_nk_23b","Nush",2011,0.709222016666666,2.995022,0.0140957166666666,706.485977340826,795.925085030972,942.152,0.705443941176471
50,26.2,0.709532,2.939851,26.2,52.4,"2011_nk_23b","Nush",2011,0.7092208,3.00759641666667,0.0125744166666668,706.485977340826,795.925085030972,942.152,0.705443941176471
51,26.724,0.709039,2.925845,26.724,53.448,"2011_nk_23b","Nush",2011,0.709213633333333,3.02008076666667,0.0124843500000003,706.485977340826,795.925085030972,942.152,0.705443941176471
52,27.248,0.709245,2.911469,27.248,54.496,"2011_nk_23b","Nush",2011,0.70920405,3.0327661,0.0126853333333337,706.485977340826,795.925085030972,942.152,0.705443941176471
53,27.772,0.709236,2.990427,27.772,55.544,"2011_nk_23b","Nush",2011,0.709202616666666,3.04515095,0.0123848499999997,706.485977340826,795.925085030972,942.152,0.705443941176471
54,28.296,0.709536,2.985411,28.296,56.592,"2011_nk_23b","Nush",2011,0.709207366666666,3.05912351666667,0.0139725666666668,706.485977340826,795.925085030972,942.152,0.705443941176471
55,28.82,0.709531,3.006827,28.82,57.64,"2011_nk_23b","Nush",2011,0.70922075,3.0734603,0.0143367833333334,706.485977340826,795.925085030972,942.152,0.705443941176471
56,29.344,0.709382,3.0178,29.344,58.688,"2011_nk_23b","Nush",2011,0.709217216666666,3.08748391666667,0.014023616666667,706.485977340826,795.925085030972,942.152,0.705443941176471
57,29.868,0.709114,3.024897,29.868,59.736,"2011_nk_23b","Nush",2011,0.70922425,3.10149638333333,0.0140124666666663,706.485977340826,795.925085030972,942.152,0.705443941176471
58,30.392,0.709145,3.066968,30.392,60.784,"2011_nk_23b","Nush",2011,0.709227533333333,3.1164355,0.0149391166666666,706.485977340826,795.925085030972,942.152,0.705443941176471
59,30.916,0.709111,3.145459,30.916,61.832,"2011_nk_23b","Nush",2011,0.709249983333333,3.13103936666667,0.0146038666666666,706.485977340826,795.925085030972,942.152,0.705443941176471
60,31.44,0.709723,3.156753,31.44,62.88,"2011_nk_23b","Nush",2011,0.709233716666666,3.14543026666667,0.0143908999999995,706.485977340826,795.925085030972,942.152,0.705443941176471
61,31.964,0.709802,3.166451,31.964,63.928,"2011_nk_23b","Nush",2011,0.709218466666666,3.15859663333333,0.0131663666666668,706.485977340826,795.925085030972,942.152,0.705443941176471
62,32.488,0.709,3.1493,32.488,64.976,"2011_nk_23b","Nush",2011,0.709213616666666,3.17190971666667,0.0133130833333337,706.485977340826,795.925085030972,942.152,0.705443941176471
63,33.012,0.709128,3.2508,33.012,66.024,"2011_nk_23b","Nush",2011,0.709204166666666,3.18428768333333,0.012377966666667,706.485977340826,795.925085030972,942.152,0.705443941176471
64,33.536,0.709385,3.274938,33.536,67.072,"2011_nk_23b","Nush",2011,0.70921285,3.19683588333333,0.0125481999999999,706.485977340826,795.925085030972,942.152,0.705443941176471
65,34.06,0.709327,3.291336,34.06,68.12,"2011_nk_23b","Nush",2011,0.709211116666666,3.20832708333333,0.0114912,706.485977340826,795.925085030972,942.152,0.705443941176471
66,34.584,0.709019,3.308899,34.584,69.168,"2011_nk_23b","Nush",2011,0.709206733333333,3.22080396666667,0.0124768833333331,706.485977340826,795.925085030972,942.152,0.705443941176471
67,35.108,0.708993,3.317067,35.108,70.216,"2011_nk_23b","Nush",2011,0.709217383333333,3.23227923333333,0.0114752666666669,706.485977340826,795.925085030972,942.152,0.705443941176471
68,35.632,0.709375,3.265987,35.632,71.264,"2011_nk_23b","Nush",2011,0.709215166666666,3.24244775,0.0101685166666665,706.485977340826,795.925085030972,942.152,0.705443941176471
69,36.156,0.708887,3.365505,36.156,72.312,"2011_nk_23b","Nush",2011,0.709213983333333,3.25349996666667,0.0110522166666662,706.485977340826,795.925085030972,942.152,0.705443941176471
70,36.68,0.709353,3.432846,36.68,73.36,"2011_nk_23b","Nush",2011,0.709213983333333,3.26552465,0.0120246833333337,706.485977340826,795.925085030972,942.152,0.705443941176471
71,37.204,0.708991,3.361359,37.204,74.408,"2011_nk_23b","Nush",2011,0.709207783333333,3.27774298333333,0.0122183333333332,706.485977340826,795.925085030972,942.152,0.705443941176471
72,37.728,0.709008,3.337372,37.728,75.456,"2011_nk_23b","Nush",2011,0.7092157,3.2874539,0.00971091666666668,706.485977340826,795.925085030972,942.152,0.705443941176471
73,38.252,0.709075,3.329585,38.252,76.504,"2011_nk_23b","Nush",2011,0.709217383333333,3.29794215,0.0104882500000003,706.485977340826,795.925085030972,942.152,0.705443941176471
74,38.776,0.708962,3.391442,38.776,77.552,"2011_nk_23b","Nush",2011,0.7092142,3.30709565,0.00915349999999959,706.485977340826,795.925085030972,942.152,0.705443941176471
75,39.3,0.709372,3.445584,39.3,78.6,"2011_nk_23b","Nush",2011,0.709209166666666,3.31712718333333,0.0100315333333332,706.485977340826,795.925085030972,942.152,0.705443941176471
76,39.824,0.709277,3.506247,39.824,79.648,"2011_nk_23b","Nush",2011,0.709219833333333,3.32741836666667,0.0102911833333335,706.485977340826,795.925085030972,942.152,0.705443941176471
77,40.348,0.709287,3.524571,40.348,80.696,"2011_nk_23b","Nush",2011,0.709224066666666,3.3377886,0.0103702333333335,706.485977340826,795.925085030972,942.152,0.705443941176471
78,40.872,0.709652,3.554697,40.872,81.744,"2011_nk_23b","Nush",2011,0.709238083333333,3.3473829,0.00959429999999983,706.485977340826,795.925085030972,942.152,0.705443941176471
79,41.396,0.708994,3.467602,41.396,82.792,"2011_nk_23b","Nush",2011,0.709233566666666,3.3567402,0.00935730000000046,706.485977340826,795.925085030972,942.152,0.705443941176471
80,41.92,0.70904,3.473883,41.92,83.84,"2011_nk_23b","Nush",2011,0.7092339,3.3651412,0.0084010000000001,706.485977340826,795.925085030972,942.152,0.705443941176471
81,42.444,0.70867,3.504593,42.444,84.888,"2011_nk_23b","Nush",2011,0.709233033333333,3.37404765,0.00890645000000001,706.485977340826,795.925085030972,942.152,0.705443941176471
82,42.968,0.70916,3.486488,42.968,85.936,"2011_nk_23b","Nush",2011,0.7092283,3.38276701666667,0.00871936666666695,706.485977340826,795.925085030972,942.152,0.705443941176471
83,43.492,0.709432,3.44502,43.492,86.984,"2011_nk_23b","Nush",2011,0.709235,3.3904801,0.00771308333333343,706.485977340826,795.925085030972,942.152,0.705443941176471
84,44.016,0.708987,3.48348,44.016,88.032,"2011_nk_23b","Nush",2011,0.709232466666667,3.39789768333333,0.00741758333333298,706.485977340826,795.925085030972,942.152,0.705443941176471
85,44.54,0.709429,3.47479,44.54,89.08,"2011_nk_23b","Nush",2011,0.709229066666667,3.40597708333333,0.00807940000000018,706.485977340826,795.925085030972,942.152,0.705443941176471
86,45.064,0.708953,3.463866,45.064,90.128,"2011_nk_23b","Nush",2011,0.70921915,3.4143074,0.00833031666666662,706.485977340826,795.925085030972,942.152,0.705443941176471
87,45.588,0.709241,3.486515,45.588,91.176,"2011_nk_23b","Nush",2011,0.709220033333333,3.42154938333334,0.00724198333333348,706.485977340826,795.925085030972,942.152,0.705443941176471
88,46.112,0.708989,3.550683,46.112,92.224,"2011_nk_23b","Nush",2011,0.709221583333333,3.42698845,0.00543906666666683,706.485977340826,795.925085030972,942.152,0.705443941176471
89,46.636,0.709927,3.544887,46.636,93.272,"2011_nk_23b","Nush",2011,0.709221166666667,3.43129263333334,0.00430418333333327,706.485977340826,795.925085030972,942.152,0.705443941176471
90,47.16,0.708317,3.534857,47.16,94.32,"2011_nk_23b","Nush",2011,0.70921675,3.43856425,0.00727161666666643,706.485977340826,795.925085030972,942.152,0.705443941176471
91,47.684,0.709089,3.492625,47.684,95.368,"2011_nk_23b","Nush",2011,0.709198966666667,3.44410455,0.00554029999999983,706.485977340826,795.925085030972,942.152,0.705443941176471
92,48.208,0.709337,3.482114,48.208,96.416,"2011_nk_23b","Nush",2011,0.70920055,3.44859566666667,0.00449111666666679,706.485977340826,795.925085030972,942.152,0.705443941176471
93,48.732,0.709008,3.491937,48.732,97.464,"2011_nk_23b","Nush",2011,0.709204466666667,3.45106151666667,0.0024658500000001,706.485977340826,795.925085030972,942.152,0.705443941176471
94,49.256,0.709516,3.531622,49.256,98.512,"2011_nk_23b","Nush",2011,0.7092025,3.45326775,0.00220623333333325,706.485977340826,795.925085030972,942.152,0.705443941176471
95,49.78,0.709379,3.487506,49.78,99.56,"2011_nk_23b","Nush",2011,0.70920265,3.45451823333333,0.00125048333333311,706.485977340826,795.925085030972,942.152,0.705443941176471
96,50.304,0.709524,3.494779,50.304,100.608,"2011_nk_23b","Nush",2011,0.709201333333333,3.45504378333333,0.000525550000000319,706.485977340826,795.925085030972,942.152,0.705443941176471
97,50.828,0.709226,3.476925,50.828,101.656,"2011_nk_23b","Nush",2011,0.709203166666667,3.45606791666667,0.0010241333333334,706.485977340826,795.925085030972,942.152,0.705443941176471
98,51.352,0.708897,3.433898,51.352,102.704,"2011_nk_23b","Nush",2011,0.709201266666667,3.45716538333333,0.00109746666666632,706.485977340826,795.925085030972,942.152,0.705443941176471
99,51.876,0.709226,3.485768,51.876,103.752,"2011_nk_23b","Nush",2011,0.709210516666667,3.45668726666667,-0.000478116666666306,706.485977340826,795.925085030972,942.152,0.705443941176471
100,52.4,0.709018,3.481424,52.4,104.8,"2011_nk_23b","Nush",2011,0.7092077,3.45453055,-0.00215671666666672,706.485977340826,795.925085030972,942.152,0.705443941176471
101,52.924,0.709188,3.512256,52.924,105.848,"2011_nk_23b","Nush",2011,0.709210016666667,3.45336713333334,-0.00116341666666653,706.485977340826,795.925085030972,942.152,0.705443941176471
102,53.448,0.70964,3.374104,53.448,106.896,"2011_nk_23b","Nush",2011,0.709213783333333,3.45230503333333,-0.0010621000000004,706.485977340826,795.925085030972,942.152,0.705443941176471
103,53.972,0.709431,3.489245,53.972,107.944,"2011_nk_23b","Nush",2011,0.709217516666667,3.45140518333334,-0.000899849999999702,706.485977340826,795.925085030972,942.152,0.705443941176471
104,54.496,0.70918,3.429284,54.496,108.992,"2011_nk_23b","Nush",2011,0.70921975,3.4500831,-0.00132208333333361,706.485977340826,795.925085030972,942.152,0.705443941176471
105,55.02,0.708847,3.497001,55.02,110.04,"2011_nk_23b","Nush",2011,0.709218516666667,3.44769803333333,-0.00238506666666671,706.485977340826,795.925085030972,942.152,0.705443941176471
106,55.544,0.709523,3.480967,55.544,111.088,"2011_nk_23b","Nush",2011,0.709207766666667,3.44434378333334,-0.00335424999999967,706.485977340826,795.925085030972,942.152,0.705443941176471
107,56.068,0.709499,3.46324,56.068,112.136,"2011_nk_23b","Nush",2011,0.709206083333333,3.44166323333334,-0.00268055,706.485977340826,795.925085030972,942.152,0.705443941176471
108,56.592,0.709652,3.4331,56.592,113.184,"2011_nk_23b","Nush",2011,0.709195983333333,3.43776035,-0.00390288333333322,706.485977340826,795.925085030972,942.152,0.705443941176471
109,57.116,0.709208,3.50426,57.116,114.232,"2011_nk_23b","Nush",2011,0.709195316666667,3.43468513333333,-0.00307521666666721,706.485977340826,795.925085030972,942.152,0.705443941176471
110,57.64,0.709552,3.443911,57.64,115.28,"2011_nk_23b","Nush",2011,0.7091944,3.43205383333333,-0.0026313,706.485977340826,795.925085030972,942.152,0.705443941176471
111,58.164,0.708987,3.460232,58.164,116.328,"2011_nk_23b","Nush",2011,0.7091982,3.4287036,-0.00335023333333329,706.485977340826,795.925085030972,942.152,0.705443941176471
112,58.688,0.708961,3.434631,58.688,117.376,"2011_nk_23b","Nush",2011,0.7091977,3.42483175,-0.0038718499999999,706.485977340826,795.925085030972,942.152,0.705443941176471
113,59.212,0.709638,3.453212,59.212,118.424,"2011_nk_23b","Nush",2011,0.709189033333333,3.42212738333333,-0.00270436666666685,706.485977340826,795.925085030972,942.152,0.705443941176471
114,59.736,0.709384,3.430466,59.736,119.472,"2011_nk_23b","Nush",2011,0.709184666666667,3.41856996666667,-0.00355741666666676,706.485977340826,795.925085030972,942.152,0.705443941176471
115,60.26,0.709327,3.491591,60.26,120.52,"2011_nk_23b","Nush",2011,0.709185183333333,3.41476503333333,-0.00380493333333343,706.485977340826,795.925085030972,942.152,0.705443941176471
116,60.784,0.708787,3.517619,60.784,121.568,"2011_nk_23b","Nush",2011,0.70919075,3.4106088,-0.00415623333333315,706.485977340826,795.925085030972,942.152,0.705443941176471
117,61.308,0.709167,3.459416,61.308,122.616,"2011_nk_23b","Nush",2011,0.709186633333333,3.40659498333333,-0.00401381666666634,706.485977340826,795.925085030972,942.152,0.705443941176471
118,61.832,0.709238,3.393312,61.832,123.664,"2011_nk_23b","Nush",2011,0.70919155,3.40075731666667,-0.00583766666666641,706.485977340826,795.925085030972,942.152,0.705443941176471
119,62.356,0.709086,3.40371,62.356,124.712,"2011_nk_23b","Nush",2011,0.709177266666667,3.39487283333334,-0.00588448333333336,706.485977340826,795.925085030972,942.152,0.705443941176471
120,62.88,0.709458,3.59305,62.88,125.76,"2011_nk_23b","Nush",2011,0.709188216666667,3.38874375,-0.00612908333333362,706.485977340826,795.925085030972,942.152,0.705443941176471
121,63.404,0.708735,3.498869,63.404,126.808,"2011_nk_23b","Nush",2011,0.709188866666667,3.3834969,-0.0052468499999998,706.485977340826,795.925085030972,942.152,0.705443941176471
122,63.928,0.709095,3.418767,63.928,127.856,"2011_nk_23b","Nush",2011,0.7091845,3.37865715,-0.00483974999999992,706.485977340826,795.925085030972,942.152,0.705443941176471
123,64.452,0.709363,3.398751,64.452,128.904,"2011_nk_23b","Nush",2011,0.70917775,3.3731351,-0.00552205000000017,706.485977340826,795.925085030972,942.152,0.705443941176471
124,64.976,0.709267,3.407312,64.976,129.952,"2011_nk_23b","Nush",2011,0.709168,3.36686783333334,-0.00626726666666633,706.485977340826,795.925085030972,942.152,0.705443941176471
125,65.5,0.709336,3.366365,65.5,131,"2011_nk_23b","Nush",2011,0.709167116666667,3.36143215,-0.00543568333333377,706.485977340826,795.925085030972,942.152,0.705443941176471
126,66.024,0.70894,3.340432,66.024,132.048,"2011_nk_23b","Nush",2011,0.7091606,3.35583633333334,-0.00559581666666631,706.485977340826,795.925085030972,942.152,0.705443941176471
127,66.548,0.709103,3.378515,66.548,133.096,"2011_nk_23b","Nush",2011,0.709157716666667,3.350826,-0.00501033333333334,706.485977340826,795.925085030972,942.152,0.705443941176471
128,67.072,0.709261,3.331835,67.072,134.144,"2011_nk_23b","Nush",2011,0.709165283333333,3.34616053333333,-0.00466546666666723,706.485977340826,795.925085030972,942.152,0.705443941176471
129,67.596,0.709442,3.336818,67.596,135.192,"2011_nk_23b","Nush",2011,0.709161816666667,3.3405131,-0.00564743333333295,706.485977340826,795.925085030972,942.152,0.705443941176471
130,68.12,0.709184,3.303443,68.12,136.24,"2011_nk_23b","Nush",2011,0.709167466666667,3.33531216666667,-0.0052009333333336,706.485977340826,795.925085030972,942.152,0.705443941176471
131,68.644,0.70913,3.291554,68.644,137.288,"2011_nk_23b","Nush",2011,0.709169583333333,3.32939886666667,-0.00591330000000001,706.485977340826,795.925085030972,942.152,0.705443941176471
132,69.168,0.709234,3.273646,69.168,138.336,"2011_nk_23b","Nush",2011,0.70916305,3.32591935,-0.00347951666666679,706.485977340826,795.925085030972,942.152,0.705443941176471
133,69.692,0.709299,3.275594,69.692,139.384,"2011_nk_23b","Nush",2011,0.709160966666667,3.32069718333333,-0.00522216666666653,706.485977340826,795.925085030972,942.152,0.705443941176471
134,70.216,0.709096,3.312117,70.216,140.432,"2011_nk_23b","Nush",2011,0.7091568,3.31725336666667,-0.0034438166666666,706.485977340826,795.925085030972,942.152,0.705443941176471
135,70.74,0.709298,3.30248,70.74,141.48,"2011_nk_23b","Nush",2011,0.7091639,3.31326781666667,-0.00398555000000034,706.485977340826,795.925085030972,942.152,0.705443941176471
136,71.264,0.708632,3.304992,71.264,142.528,"2011_nk_23b","Nush",2011,0.709150166666667,3.30972871666667,-0.0035390999999998,706.485977340826,795.925085030972,942.152,0.705443941176471
137,71.788,0.709186,3.363738,71.788,143.576,"2011_nk_23b","Nush",2011,0.709141316666666,3.30643028333333,-0.00329843333333324,706.485977340826,795.925085030972,942.152,0.705443941176471
138,72.312,0.709046,3.320524,72.312,144.624,"2011_nk_23b","Nush",2011,0.709144083333333,3.30451385,-0.00191643333333325,706.485977340826,795.925085030972,942.152,0.705443941176471
139,72.836,0.708954,3.283089,72.836,145.672,"2011_nk_23b","Nush",2011,0.7091528,3.30142486666667,-0.00308898333333296,706.485977340826,795.925085030972,942.152,0.705443941176471
140,73.36,0.708985,3.316005,73.36,146.72,"2011_nk_23b","Nush",2011,0.709154716666667,3.29993456666667,-0.00149029999999994,706.485977340826,795.925085030972,942.152,0.705443941176471
141,73.884,0.708898,3.303579,73.884,147.768,"2011_nk_23b","Nush",2011,0.709154,3.29814611666667,-0.00178844999999983,706.485977340826,795.925085030972,942.152,0.705443941176471
142,74.408,0.70913,3.254177,74.408,148.816,"2011_nk_23b","Nush",2011,0.709162666666666,3.29728896666667,-0.000857150000000306,706.485977340826,795.925085030972,942.152,0.705443941176471
143,74.932,0.708912,3.282758,74.932,149.864,"2011_nk_23b","Nush",2011,0.709141466666667,3.29619316666667,-0.00109580000000031,706.485977340826,795.925085030972,942.152,0.705443941176471
144,75.456,0.708725,3.270035,75.456,150.912,"2011_nk_23b","Nush",2011,0.709133466666666,3.2949519,-0.0012412666666668,706.485977340826,795.925085030972,942.152,0.705443941176471
145,75.98,0.70946,3.246494,75.98,151.96,"2011_nk_23b","Nush",2011,0.709125833333333,3.29322495,-0.00172695000000012,706.485977340826,795.925085030972,942.152,0.705443941176471
146,76.504,0.709287,3.214492,76.504,153.008,"2011_nk_23b","Nush",2011,0.70912525,3.29144348333333,-0.0017814666666669,706.485977340826,795.925085030972,942.152,0.705443941176471
147,77.028,0.708994,3.245686,77.028,154.056,"2011_nk_23b","Nush",2011,0.70912295,3.29023641666667,-0.00120706666666681,706.485977340826,795.925085030972,942.152,0.705443941176471
148,77.552,0.709284,3.200423,77.552,155.104,"2011_nk_23b","Nush",2011,0.709111316666666,3.29024618333333,9.76666666696602e-06,706.485977340826,795.925085030972,942.152,0.705443941176471
149,78.076,0.70907,3.191818,78.076,156.152,"2011_nk_23b","Nush",2011,0.709110783333333,3.29076621666667,0.000520033333333281,706.485977340826,795.925085030972,942.152,0.705443941176471
150,78.6,0.708974,3.167112,78.6,157.2,"2011_nk_23b","Nush",2011,0.70910565,3.2864202,-0.00434601666666667,706.485977340826,795.925085030972,942.152,0.705443941176471
151,79.124,0.709128,3.177814,79.124,158.248,"2011_nk_23b","Nush",2011,0.70910675,3.2854148,-0.00100540000000038,706.485977340826,795.925085030972,942.152,0.705443941176471
152,79.648,0.709075,3.191729,79.648,159.296,"2011_nk_23b","Nush",2011,0.709100933333333,3.28556458333333,0.000149783333333264,706.485977340826,795.925085030972,942.152,0.705443941176471
