"Cycle","Time","Iso","Sr88","Microns","Fish_id","Watershed","Year","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
31,16.244,0.710921119110852,0.327728399722465,32.488,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
32,16.768,0.708833298678197,0.502642134339367,33.536,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
33,17.292,0.707653542115153,0.56451970214775,34.584,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
34,17.816,0.710959431859192,0.583459847427869,35.632,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
35,18.34,0.708421793344088,0.584956076568045,36.68,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
36,18.864,0.708894424352453,0.581381696350149,37.728,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
37,19.388,0.708659793700374,0.565135535297439,38.776,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
38,19.912,0.707864436825228,0.53988008748928,39.824,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
39,20.436,0.708755581733452,0.530098510359727,40.872,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
40,20.96,0.710931331455447,0.531959781210512,41.92,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
41,21.484,0.708933145727049,0.533227970784782,42.968,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
42,22.008,0.708069971688916,0.542820190426483,44.016,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
43,22.532,0.709973385052296,0.548565181904245,45.064,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
44,23.056,0.707818421348925,0.550786627740905,46.112,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
45,23.58,0.708794586212992,0.538170676966396,47.16,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
46,24.104,0.709606841176396,0.531155433735223,48.208,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
47,24.628,0.708970149846078,0.522242739857683,49.256,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
48,25.152,0.709622057968885,0.527492778030405,50.304,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
49,25.676,0.708137234777558,0.536328108875779,51.352,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
50,26.2,0.710271421271373,0.541271535486922,52.4,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
51,26.724,0.707223293170187,0.549037882313207,53.448,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
52,27.248,0.709007913522003,0.57078790350218,54.496,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
53,27.772,0.708001322641721,0.572627024707909,55.544,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
54,28.296,0.707264284717478,0.560335615378994,56.592,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
55,28.82,0.706126870237148,0.576039902573514,57.64,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
56,29.344,0.709892807841772,0.604663723475043,58.688,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
57,29.868,0.710028743662388,0.605722363818663,59.736,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
58,30.392,0.708489721194948,0.608237814200676,60.784,"2014_nk_117","Nush",2014,NA,NA,NA,271.891148766226,431.242452826479,999.792,0.709105683430559
