Cycle,time,Iso,Sr88,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
1,0.524,0.7078116,1.0538996,0.524,1.048,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
2,1.048,0.705664,1.4669907,1.048,2.096,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
3,1.524,0.7069374,1.4575462,1.572,3.144,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
4,2.048,0.7054071,1.4320361,2.096,4.192,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
5,2.524,0.7061774,1.4497942,2.62,5.24,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
6,3.048,0.7062212,1.4571164,3.144,6.288,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
7,3.524,0.7057291,1.4387045999999999,3.668,7.336,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
8,4.048,0.7064998,1.4335657,4.192,8.384,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
9,4.524,0.70653,1.4322085,4.716,9.432,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
10,5.048,0.7061924,1.4483285,5.24,10.48,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
11,5.524,0.7062598,1.4358202,5.764,11.528,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
12,6.048,0.7045887,1.4484932,6.288,12.576,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
13,6.524,0.7065777,1.4499933,6.812,13.624,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
14,7.048,0.7056747,1.4528509,7.336,14.672,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
15,7.524,0.7057392,1.4387728,7.86,15.72,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
16,8.048,0.7061527,1.4440173,8.384,16.768,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
17,8.524,0.7064244,1.4465573,8.908,17.816,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
18,9.048,0.7061766,1.4623607,9.432,18.864,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
19,9.524,0.7065945,1.4494706,9.956,19.912,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
20,10.048,0.7067911,1.4528329,10.48,20.96,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
21,10.524,0.7052485,1.4413341,11.004,22.008,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
22,11.048,0.7051517,1.4789485,11.528,23.056,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
23,11.524,0.7053531,1.481843,12.052,24.104,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
24,12.048,0.7058386,1.470022,12.576,25.152,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
25,12.524,0.7060916,1.469321,13.1,26.2,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
26,13.048,0.7060881,1.486576,13.624,27.248,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
27,13.524,0.7065093,1.47076,14.148,28.296,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
28,14.048,0.7067654,1.466265,14.672,29.344,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
29,14.524,0.7060141,1.4745425,15.196,30.392,2011_nk_225,Nush,2011,NA,NA,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
30,15.048,0.7059812,1.4693268,15.72,31.44,2011_nk_225,Nush,2011,0.706024485,1.46230338333333,NA,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
31,15.524,0.7054562,1.4824123,16.244,32.488,2011_nk_225,Nush,2011,0.70599835,1.46935125833333,0.00704787500000004,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
32,16.048,0.7056828,1.4827581,16.768,33.536,2011_nk_225,Nush,2011,0.705993286666667,1.46932690333333,-2.43550000000869e-5,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
33,16.524,0.7052656,1.4811172,17.292,34.584,2011_nk_225,Nush,2011,0.705970403333333,1.46963224,3.0533666666676e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
34,17.048,0.7065827,1.4686462,17.816,35.632,2011_nk_225,Nush,2011,0.705977093333333,1.47064622333333,0.00101398333333336,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
35,17.524,0.7064821,1.4868446,18.34,36.68,2011_nk_225,Nush,2011,0.70597486,1.47125599,6.0976666666667e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
