Cycle,Sr88,Iso,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
20,0.296845651210929,0.707969754060858,10.48,20.96,2015_nk_015,Nush,2015,NA,NA,NA,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
21,0.986247928735491,0.708485981613241,11.004,22.008,2015_nk_015,Nush,2015,NA,NA,NA,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
22,1.21273697640838,0.70907431882317,11.528,23.056,2015_nk_015,Nush,2015,NA,NA,NA,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
23,1.2827758770539,0.709931598074018,12.052,24.104,2015_nk_015,Nush,2015,NA,NA,NA,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
24,1.29787290829359,0.70902780054133,12.576,25.152,2015_nk_015,Nush,2015,NA,NA,NA,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
25,1.30029235921696,0.709014023227966,13.1,26.2,2015_nk_015,Nush,2015,NA,NA,NA,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
26,1.30336620518899,0.70900818526921106,13.624,27.248,2015_nk_015,Nush,2015,NA,NA,NA,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
27,1.30277842706472,0.708753547102526,14.148,28.296,2015_nk_015,Nush,2015,NA,NA,NA,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
28,1.27844439411833,0.709327030789516,14.672,29.344,2015_nk_015,Nush,2015,NA,NA,NA,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
29,1.25575567314801,0.707941314960125,15.196,30.392,2015_nk_015,Nush,2015,NA,NA,NA,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
30,1.25183752915928,0.708356639194279,15.72,31.44,2015_nk_015,Nush,2015,NA,NA,NA,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
31,1.24813946250971,0.709216056599978,16.244,32.488,2015_nk_015,Nush,2015,NA,NA,NA,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
32,1.22099081296249,0.708325821228114,16.768,33.536,2015_nk_015,Nush,2015,NA,NA,NA,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
