Cycle,Time,Iso,Sr88,Fish_id,Watershed,Year,Microns,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
309,161.916,0.709717438432876,0.477219706691838,2015_yk_489,Yukon,2015,323.832,NA,NA,NA,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
310,162.44,0.708528674269996,1.06316459678125,2015_yk_489,Yukon,2015,324.88,NA,NA,NA,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
311,162.964,0.708001090505354,1.20598170971188,2015_yk_489,Yukon,2015,325.928,NA,NA,NA,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
312,163.488,0.708353417279497,1.18846905931903,2015_yk_489,Yukon,2015,326.976,NA,NA,NA,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
313,164.012,0.708290911677208,1.18546189387295,2015_yk_489,Yukon,2015,328.024,NA,NA,NA,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
314,164.536,0.709469274021427,1.18626588569618,2015_yk_489,Yukon,2015,329.072,NA,NA,NA,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
315,165.06,0.707771985856256,1.12975192149285,2015_yk_489,Yukon,2015,330.12,NA,NA,NA,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
316,165.584,0.709187782395074,1.11731891835973,2015_yk_489,Yukon,2015,331.168,NA,NA,NA,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
317,166.108,0.709173533180903,1.1296368025666499,2015_yk_489,Yukon,2015,332.216,NA,NA,NA,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
318,166.632,0.708821390085695,1.11598429974135,2015_yk_489,Yukon,2015,333.264,NA,NA,NA,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
319,167.156,0.70871008153055,1.11590293510456,2015_yk_489,Yukon,2015,334.312,NA,NA,NA,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
