"Cycle","Time","Iso","Sr88","Microns","Fish_id","Watershed","Year","Iso_MA","natal_iso"
1361,713.164,0.706837059176524,0.396085763333394,1426.328,"2019_kk_113","Kusko",2019,0.705830514812471,0.705959632
1362,713.688,0.708176077557766,0.392493755629686,1427.376,"2019_kk_113","Kusko",2019,0.705823756893788,0.705959632
1363,714.212,0.702775015090336,0.393344318985285,1428.424,"2019_kk_113","Kusko",2019,0.705881876395077,0.705959632
1364,714.736,0.705599959327422,0.390650073969699,1429.472,"2019_kk_113","Kusko",2019,0.705930289032445,0.705959632
1365,715.26,0.705620587404162,0.390284540906915,1430.52,"2019_kk_113","Kusko",2019,0.705924135147312,0.705959632
1366,715.784,0.703167724737665,0.387693585153449,1431.568,"2019_kk_113","Kusko",2019,0.705906867298094,0.705959632
1367,716.308,0.703214851552467,0.390709636155837,1432.616,"2019_kk_113","Kusko",2019,0.705898228066976,0.705959632
1368,716.832,0.708988860773267,0.385738379386116,1433.664,"2019_kk_113","Kusko",2019,0.705854585839656,0.705959632
1369,717.356,0.703704792169549,0.384297289331774,1434.712,"2019_kk_113","Kusko",2019,0.705874515072199,0.705959632
1370,717.88,0.706826350050653,0.383506663401936,1435.76,"2019_kk_113","Kusko",2019,0.705876264916239,0.705959632
1371,718.404,0.703596966530626,0.381947853815024,1436.808,"2019_kk_113","Kusko",2019,0.705836535038215,0.705959632
1372,718.928,0.704778196281592,0.378384898190393,1437.856,"2019_kk_113","Kusko",2019,0.705785310374334,0.705959632
1373,719.452,0.703522701146652,0.379774949897967,1438.904,"2019_kk_113","Kusko",2019,0.705889293959603,0.705959632
1374,719.976,0.704721062392898,0.385919735128469,1439.952,"2019_kk_113","Kusko",2019,0.705916558266501,0.705959632
1375,720.5,0.70665518668366,0.385851263715208,1441,"2019_kk_113","Kusko",2019,0.705932384747405,0.705959632
1376,721.024,0.708524030427842,0.382687832180006,1442.048,"2019_kk_113","Kusko",2019,0.705964062844827,0.705959632
1377,721.548,0.704399903151776,0.379495598973782,1443.096,"2019_kk_113","Kusko",2019,0.706012160071603,0.705959632
1378,722.072,0.705591002418869,0.38470170361948,1444.144,"2019_kk_113","Kusko",2019,0.705987741644281,0.705959632
1379,722.596,0.703637118504846,0.386959457684676,1445.192,"2019_kk_113","Kusko",2019,0.706007538011739,0.705959632
1380,723.12,0.704566015959753,0.388986941147076,1446.24,"2019_kk_113","Kusko",2019,0.706005413808294,0.705959632
1381,723.644,0.708501101103505,0.390169998187846,1447.288,"2019_kk_113","Kusko",2019,0.705978646916364,0.705959632
1382,724.168,0.705118826223032,0.383893012823641,1448.336,"2019_kk_113","Kusko",2019,0.705934999365903,0.705959632
1383,724.692,0.705554646594153,0.38500079317104,1449.384,"2019_kk_113","Kusko",2019,0.705936206438929,0.705959632
1384,725.216,0.704543789799743,0.391986770751959,1450.432,"2019_kk_113","Kusko",2019,0.705974988331924,0.705959632
1385,725.74,0.704930767123524,0.392434766426001,1451.48,"2019_kk_113","Kusko",2019,0.706026837285544,0.705959632
1386,726.264,0.706138836076518,0.395189757624473,1452.528,"2019_kk_113","Kusko",2019,0.706050498255706,0.705959632
1387,726.788,0.705018959155133,0.393895324688906,1453.576,"2019_kk_113","Kusko",2019,0.706094176146171,0.705959632
1388,727.312,0.707882508837113,0.383261710951377,1454.624,"2019_kk_113","Kusko",2019,0.705991839726566,0.705959632
