Cycle,time,Iso,Sr88,Time,Microns,Fish_id,Watershed,Year
1,0.524,0.7095963,1.6187715,0.524,1.048,2011_nk_152,Nush,2011
2,1.048,0.7090262,1.7368802,1.048,2.096,2011_nk_152,Nush,2011
3,1.524,0.7093004,1.8210695,1.572,3.144,2011_nk_152,Nush,2011
4,2.048,0.7093105,1.8026272,2.096,4.192,2011_nk_152,Nush,2011
5,2.524,0.7088746,1.8267216,2.62,5.24,2011_nk_152,Nush,2011
6,3.048,0.709565,1.7936295,3.144,6.288,2011_nk_152,Nush,2011
7,3.524,0.7083341,1.8293241,3.668,7.336,2011_nk_152,Nush,2011
8,4.048,0.7095378,1.8373847,4.192,8.384,2011_nk_152,Nush,2011
9,4.524,0.7085903,1.8367169,4.716,9.432,2011_nk_152,Nush,2011
10,5.048,0.709968,1.8051902,5.24,10.48,2011_nk_152,Nush,2011
11,5.524,0.7094738,1.769979,5.764,11.528,2011_nk_152,Nush,2011
12,6.048,0.7101255,1.7516484,6.288,12.576,2011_nk_152,Nush,2011
13,6.524,0.7086969,1.7538004,6.812,13.624,2011_nk_152,Nush,2011
14,7.048,0.7084907,1.7749091,7.336,14.672,2011_nk_152,Nush,2011
15,7.524,0.7089569,1.8551784,7.86,15.72,2011_nk_152,Nush,2011
16,8.048,0.7091932,1.9062032,8.384,16.768,2011_nk_152,Nush,2011
17,8.524,0.7092614,1.8566193,8.908000000000001,17.816000000000003,2011_nk_152,Nush,2011
18,9.048,0.70882,1.762592,9.432000000000002,18.864000000000004,2011_nk_152,Nush,2011
19,9.524,0.7093625,1.7184042,9.956,19.912,2011_nk_152,Nush,2011
20,10.048,0.7092685,1.5612017,10.48,20.96,2011_nk_152,Nush,2011
21,10.524,0.7095688,1.4257574,11.004000000000001,22.008000000000003,2011_nk_152,Nush,2011
22,11.048,0.7107721,1.4250086,11.528000000000002,23.056000000000004,2011_nk_152,Nush,2011
23,11.524,0.7085323,1.3574635,12.052,24.104,2011_nk_152,Nush,2011
24,12.048,0.7094828,1.3070292,12.576,25.152,2011_nk_152,Nush,2011
25,12.524,0.7099961,1.2840762,13.100000000000001,26.200000000000003,2011_nk_152,Nush,2011
26,13.048,0.7097988,1.2795947,13.624000000000002,27.248000000000005,2011_nk_152,Nush,2011
27,13.524,0.7082044,1.2564395,14.148,28.296,2011_nk_152,Nush,2011
28,14.048,0.7095453,1.2106453,14.672,29.344,2011_nk_152,Nush,2011
29,14.524,0.7097083,1.1751003,15.196000000000002,30.392000000000003,2011_nk_152,Nush,2011
30,15.048,0.7089979,1.1813153,15.720000000000002,31.440000000000005,2011_nk_152,Nush,2011
31,15.524,0.7091303,1.1985289,16.244,32.488,2011_nk_152,Nush,2011
32,16.048,0.7102197,1.2219756,16.768,33.536,2011_nk_152,Nush,2011
33,16.524,0.7088356,1.2668725,17.292,34.584,2011_nk_152,Nush,2011
34,17.048,0.7095318,1.3426209,17.816000000000003,35.632000000000005,2011_nk_152,Nush,2011
35,17.524,0.7095778,1.3627543,18.340000000000003,36.68000000000001,2011_nk_152,Nush,2011
36,18.048,0.7099072,1.3411569,18.864,37.728,2011_nk_152,Nush,2011
37,18.524,0.7092522,1.3670959,19.388,38.776,2011_nk_152,Nush,2011
38,19.048,0.7090376,1.4442062,19.912000000000003,39.824000000000005,2011_nk_152,Nush,2011
39,19.524,0.7092132,1.5096293,20.436,40.872,2011_nk_152,Nush,2011
40,20.048,0.7093345,1.5312443,20.96,41.92,2011_nk_152,Nush,2011
41,20.524,0.7088506,1.5732445,21.484,42.968,2011_nk_152,Nush,2011
42,21.048,0.7093653,1.6778173,22.008000000000003,44.016000000000005,2011_nk_152,Nush,2011
43,21.524,0.7090242,1.7517331,22.532000000000004,45.06400000000001,2011_nk_152,Nush,2011
44,22.048,0.7084366,1.7391642,23.056,46.112,2011_nk_152,Nush,2011
45,22.524,0.7090525,1.7350633,23.580000000000002,47.160000000000004,2011_nk_152,Nush,2011
46,23.048,0.7091986,1.7485791,24.104000000000003,48.208000000000006,2011_nk_152,Nush,2011
47,23.524,0.7095452,1.8019895,24.628,49.256,2011_nk_152,Nush,2011
48,24.048,0.7094415,1.8486198,25.152,50.304,2011_nk_152,Nush,2011
49,24.524,0.7093645,1.8459755,25.676000000000002,51.352000000000004,2011_nk_152,Nush,2011
50,25.048,0.7087716,1.767585,26.200000000000003,52.400000000000006,2011_nk_152,Nush,2011
51,25.524,0.7089946,1.8691361,26.724000000000004,53.44800000000001,2011_nk_152,Nush,2011
52,26.048,0.7091397,1.8426728000000001,27.248,54.496,2011_nk_152,Nush,2011
53,26.524,0.7097025,1.8003632,27.772000000000002,55.544000000000004,2011_nk_152,Nush,2011
54,27.048,0.7090369,1.839542,28.296000000000003,56.592000000000006,2011_nk_152,Nush,2011
55,27.524,0.709464,1.8638139,28.82,57.64,2011_nk_152,Nush,2011
56,28.048,0.7089289,1.9564764,29.344,58.688,2011_nk_152,Nush,2011
57,28.524,0.7091248,1.9337788,29.868000000000002,59.736000000000004,2011_nk_152,Nush,2011
58,29.048,0.7089302,1.8530778,30.392000000000003,60.784000000000006,2011_nk_152,Nush,2011
59,29.524,0.7097728,1.8386187,30.916000000000004,61.83200000000001,2011_nk_152,Nush,2011
