"Sample","Fish_ID","File","Is_Specific"
1,"2019_kk_143","SPECIFIC_sample_01_2019_kk_143.png",TRUE
2,"2017_kk_205","sample_02_2017_kk_205.png",FALSE
3,"2021_kk_186","sample_03_2021_kk_186.png",FALSE
4,"2019_kk_471","sample_04_2019_kk_471.png",FALSE
5,"2017_kk_272redo","sample_05_2017_kk_272redo.png",FALSE
6,"2020_kk_303","sample_06_2020_kk_303.png",FALSE
7,"2019_kk_088","sample_07_2019_kk_088.png",FALSE
8,"2020_kk_276","sample_08_2020_kk_276.png",FALSE
9,"2019_kk_486","sample_09_2019_kk_486.png",FALSE
10,"corrected_2022_kk_073","sample_10_corrected_2022_kk_073.png",FALSE
11,"2019_kk_122","sample_11_2019_kk_122.png",FALSE
12,"2021_kk_201","sample_12_2021_kk_201.png",FALSE
13,"2019_kk_170","sample_13_2019_kk_170.png",FALSE
14,"2020_kk_041","sample_14_2020_kk_041.png",FALSE
16,"2020_kk_018_redo","sample_16_2020_kk_018_redo.png",FALSE
17,"2017_kk_005","sample_17_2017_kk_005.png",FALSE
18,"2020_kk_020_redo","sample_18_2020_kk_020_redo.png",FALSE
19,"2020_kk_063_redo","sample_19_2020_kk_063_redo.png",FALSE
20,"corrected_2022_kk_182","sample_20_corrected_2022_kk_182.png",FALSE
21,"corrected_2022_kk_003","sample_21_corrected_2022_kk_003.png",FALSE
