"Threshold","Watershed","Total_Samples","Above_Threshold","Above_Threshold_Correct","Percent_Above_Threshold","Percent_Correct_Above_Threshold","Accuracy_Above_Threshold"
0.5,"Kusko",162,160,146,98.8,90.1,91.2
0.5,"Nush",139,136,129,97.8,92.8,94.9
0.5,"Yukon",207,206,195,99.5,94.2,94.7
0.6,"Kusko",162,151,140,93.2,86.4,92.7
0.6,"Nush",139,132,127,95,91.4,96.2
0.6,"Yukon",207,202,194,97.6,93.7,96
0.7,"Kusko",162,143,134,88.3,82.7,93.7
0.7,"Nush",139,126,121,90.6,87.1,96
0.7,"Yukon",207,199,192,96.1,92.8,96.5
0.8,"Kusko",162,131,122,80.9,75.3,93.1
0.8,"Nush",139,122,117,87.8,84.2,95.9
0.8,"Yukon",207,194,191,93.7,92.3,98.5
0.85,"Kusko",162,129,121,79.6,74.7,93.8
0.85,"Nush",139,117,113,84.2,81.3,96.6
0.85,"Yukon",207,192,190,92.8,91.8,99
0.9,"Kusko",162,122,115,75.3,71,94.3
0.9,"Nush",139,107,105,77,75.5,98.1
0.9,"Yukon",207,192,190,92.8,91.8,99
0.95,"Kusko",162,93,88,57.4,54.3,94.6
0.95,"Nush",139,76,75,54.7,54,98.7
0.95,"Yukon",207,190,189,91.8,91.3,99.5
